,ten_san_pham,thanh_phan_hoat_chat,dang_bao_che,dang_dong_goi,khoi_luong_the_tich,cong_dung,han_dung,so_dang_ky
747,VS KILLER,Bronopol,Dung dịch,"Chai, Lọ, Can","10, 20, 50,
100, 200, 250,
500 ml; 1, 2,
3, 4, 5, 10, 15,
20 lít","Trị các bệnh do nấm (Saprolegnia sp., Aphanomyces sp., Achlya sp.) gây ra trên tôm, cá và trứng cá.",24 tháng,LA.TS2-92
748,COTRIM 20,"Sulfamethoxazole, Trimethoprim",Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200, 250,
500 g; 1, 2, 3,
4, 5, 10, 15,
25, 30 kg","Trị nhiễm khuẩn do Aeromonas sp, Pseudomonas fluorescens, Edwardsiella tarda gây ra trên cá nước ngọt. Trị bệnh phát sáng do vi khuẩn Vibrio gây ra trên tôm.",24 tháng,LA.TS2-93
749,SULERY,Erythromycin thiocyanate,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200, 250,
500 g; 1, 2, 3,
4, 5, 10, 15,
25, 30 kg","Trị bệnh gan thận mủ do E.ictaluri gây ra trên cá tra, cá basa.",24 tháng,LA.TS2-95
750,APA SULTRI L,"Sulfamethoxazole, Trimethoprim",Dung dịch,"Chai, Lọ, Can","10, 20, 50,
100, 200, 250,
500 ml; 1, 2,
3, 4, 5, 10, 15,
20, 25 lít","Trị nhiễm khuẩn do Aeromonas sp, Pseudomonas fluorescens, Edwardsiella tarda gây ra trên cá nước ngọt. Trị bệnh phát sáng do vi khuẩn Vibrio gây ra trên tôm",24 tháng,LA.TS2-97
751,FLC 200,Florfenicol,Thuốc nước,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml; 1; 2; 5
lít","Trị nhiễm trùng đường ruột trên cá tra, cá basa.",,DN.TS13- 01
752,OXYLIN 5000,Oxytetracycline,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg","Trị hoại tử gan-tụy, hội chứng tôm chết sớm, bệnh phân trắng, rụng râu, gẫy càng, đuôi giòn,  phát sáng trên tôm; nhiễm trùng máu, sưng chướng bụng, xuất huyết thận, hậu môn trên cá",,DN.TS13- 02
753,POVIDINE,P.V.P Iodine,Dung dịch thuốc sát trùng,"Chai, Lọ, Can","10, 20, 50,
100, 250, 500,
1000, 5000 ml","Diệt khuẩn, nguyên sinh động vật trong nước ao nuôi, sát trùng bể ương, dụng cụ nuôi tôm, cá",,DN.TS13- 03
754,DOXYMAX,Doxycycline,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg",Trị bệnh đỏ thân trên tôm cá,,DN.TS13- 04
755,AQUA HEPA,"Inositol, Lysine, Methionine, Sorbitol, Vitamin C, Vitamin E",Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg","Tăng đề kháng, chống stress khi thời tiết, môi trường thay đổi, giải độc gan trên cá",,DN.TS13- 05
756,FLOR ONE,Florfenicol,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg",Trị xuất huyết đường ruột trên cá,,DN.TS13- 06
757,ADE POWER,"Vitamin A, Vitamin D3, Vitamin E",Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg","tăng sức đề kháng, phòng bệnh do thiếu vitamin trên tôm, cá",,DN.TS13- 07
758,AQUA BKC,Alkylbenzyldimeth ylammonium chloride,Dung dịch thuốc sát trùng,"Chai, Lọ, Can","10, 20, 50,
100, 250, 500,
1000, 5000 ml","Diệt các loại vi khuẩn, nấm, nguyên sinh động vật trong nước ao nuôi; sát trùng dụng cụ dùng trong nuôi trồng thủy sản",,DN.TS13- 08
759,OXY C,"Oxytetracycline, Vitamin C",Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg","Trị đốm đỏ trên thân, mắt, hậu môn sưng đỏ, các vây bị rách, hoại tử  trên cá tra, cá basa; trị bệnh phát sáng trên ấu trùng tôm",,DN.TS13- 09
760,GROW FS,"Inositol, Lysine, Methionine, Sorbitol",Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg",Giải độc gan,,DN.TS13- 10
761,AQUASITE 50,Praziquantel,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg","Trị nội, ngoại ký sinh trùng trên cá như sán lá đơn chủ, sán lá gan, sán dây",,DN.TS13- 11
762,AMOXLIN,Amoxicillin,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg","Trị xuất huyết, tuột nhớt, gan thận mủ trên cá",,DN.TS13- 12
763,GLUCAN C,"Acid citric, Beta Glucan, Vitamin C",Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg","Chống shock, tăng cường khả năng chịu đựng của cá, tôm khi thời tiết và môi trường biến động bất thường",,DN.TS13- 13
764,AQUA ST,"Sulfadiazine sodium, Trimethoprim",Thuốc nước,"Chai, Lọ, Can","10, 20, 50,
100, 250, 500,
1000, 5000 ml","Trị bệnh phát sáng trên tôm, trị đốm đỏ, hậu môn sưng đỏ, xuất huyết trên cá nuôi nước ngọt",,DN.TS13- 14
765,FLOR 5000,Florfenicol,Thuốc nước,"Chai, Lọ, Can","10, 20, 50,
100, 250, 500,
1000, 5000 ml","Trị nhiễm trùng đường ruột trên cá tra, cá basa",,DN.TS13- 15
766,OLI ZYME,Lactobacillus Acidophylus,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg","Bổ sung vi khuẩn có lợi, giúp tôm cá tiêu hóa tốt thức ăn",,DN.TS13- 16
767,METHITOL + C,"Acid citric, Lysine, Methionine,
Sorbitol, Vitamin C",Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg","Tăng sức đề kháng, chống stress do thời tiết thay đổi, do vận chuyển, môi trường nước bị ô nhiễm trên tôm, cá",,DN.TS13- 17
768,AQUA OVERTIN,Ivermectin,Thuốc nước,"Chai, Lọ, Can","10, 20, 50,
100, 250, 500,
1000, 5000 ml",Trị ký sinh trùng trên cá,,DN.TS13- 18
769,OLI COTRIM,"Sulfamethoxazole, Trimethoprim",Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg","Trị sưng chướng bụng, gan – thận có mủ, lở loét toàn thân, đốm trắng, đốm đỏ, trắng đuôi, tuột nhớt, thối đuôi, thối vây trên cá",,DN.TS13- 19
770,GLUBEN,"Alkylbenzyldimeth ylammonium chloride, Glutaraldehyde",Dung dịch thuốc sát trùng,"Chai, Lọ, Can","10, 20, 50,
100, 250, 500,
1000, 5000 ml","Diệt các loại vi khuẩn, nấm, nguyên sinh động vật trong nước ao nuôi; sát trùng dụng cụ dùng trong nuôi trồng thủy sản",,DN.TS13- 20
771,FENDAZOL,Fenbendazole,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg",Trị nội ký sinh trùng trên cá,,DN.TS13- 21
772,OVER DINE,P.V.P Iodine,Dung dịch thuốc sát trùng,"Chai, Lọ, Can","10, 20, 50,
100, 250, 500,
1000, 5000 ml","Diệt khuẩn, nấm, nguyên sinh động vật trong nước ao nuôi trồng thủy sản",,DN.TS13- 22
773,OLIDOX,Doxycycline,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg","Trị bệnh đỏ thân trên tôm, cá",,DN.TS13- 23
774,PRAZI MAX,Praziquantel,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1, 3, 5,
10, 25kg","Trị nội ngoại kí sinh trùng, trên cá như sán lá đơn chủ, rận cá, sán lá gan và sán dây",,DN.TS13- 24
775,BRONOPOL,Bronopol,Thuốc nước,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1 lít","Trị nấm (sapolegnia sp., Aphanomyces sp., Achlya sp) trên tôm, cá và trứng cá.",,DN.TS13- 25
776,ERYMAX,Erythromycin,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1, 3, 5,
10, 25kg","Trị gan thận có mủ, xuất huyết, phù đầu, đốm đỏ, trắng gan, trắng mang trên cá, cá tra",,DN.TS13- 26
777,REDMIN,"Butaphosphan, Cyanocobalamin, Vitamin C",Thuốc nước,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml; 1, 5 lít","Chống stress, tăng sức đề kháng, tăng khả năng chuyển hóa các chất dinh dưỡng trên tôm và cá",,DN.TS13- 27
778,TRISULFON,"Sulfadimidine, Trimethoprim",Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg","Trị đốm đỏ, hậu môn sưng đỏ, xuất huyết do Aeromonas, Pseudomonas trên cá nước ngọt",,DN.TS13- 28
779,BETA 200,Amoxicillin trihydrate,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg",Trị bệnh xuất huyết do Aeromonas hydrophilla gây bệnh trên cá,,DN.TS13- 29
780,SULTRIM 48,"Sulfadimidine, Trimethoprim",Hỗn dịch,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1 lít, 5 lít","Trị bệnh phát sáng do vi khuẩn Vibrio trên tôm; trị bệnh nhiễm khuẩn do Aeromonas, Pseudomonas như đốm đỏ, hậu môn sưng đỏ, xuất huyết trên cá nuôi nước ngọt",,DN.TS13- 30
781,C COMPLEX 600,"Acid citric, Vitamin C",Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg","Phòng và trị thiếu vitamin C, tăng sức đề kháng, chống stress trên cá",,DN.TS13- 31
782,VITAMIN C PLUS,Vitamin C,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg","Tăng cường sức đề kháng, chống sốc trên tôm",,DN.TS13- 32
783,BUTASAL B12,"Butaphosphan, Cyanocobalamin",Thuốc nước,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1 lít, 5 lít","Tăng sức đề kháng, hỗ trợ tăng cường trao đổi chất trên tôm, cá",,DN.TS13- 33
784,AZATIN,Azadirachtin,Thuốc nước,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml","Trị trùng bánh xe, trùng mỏ neo, trùng quả dưa, rận cá, sán lá đơn chủ trên cá tra, basa",,DN.TS13- 34
785,GLUCAN,"Betaglucan 1,3 -
1,6",Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg",Tăng sức đề kháng trên tôm cá,,DN.TS13- 35
786,LEVAMISOL,Levamisol,Thuốc nước,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1 lít, 5 lít","Phòng và trị giun, sán ký sinh ở ống dẫn mật, túi mật gây sưng mật, tắc mật; giun tròn, giun đầu móc ký sinh ở đường tiêu hóa trên cá",,DN.TS13- 36
787,GLUCIDE,"Alkyl dimethyl benzyl amonium chloride, Glutaraldehyde",Dung dịch thuốc sát trùng,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1 lít, 5 lít","Diệt khuẩn, nấm và nguyên sinh động vật trong ao nuôi trồng thủy sản",,DN.TS13- 37
788,FOCIN,Fosfomycin sodium,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1; 3; 5;
10; 25kg","Trị bệnh gan thận mủ, xuất huyết trên cá tra, ba sa",,DN.TS13- 38
789,NANO BẠC,"Hydrogen peroxide, Nano silver",Dung dịch thuốc sát trùng,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1 lít, 5 lít","Khử trùng hệ thống nước, dụng cụ nuôi trồng thủy sản.",,DN.TS13- 39
790,FENCOL,Florfenicol,Thuốc nước,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1 lít","Trị gan thận có mủ, nhiễm trùng đường ruột, bệnh xuất huyết, phù đầu, đốm đỏ, trắng gan trên cá",,DN.TS13- 40
791,DCL,Doxycycline hyclate,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1, 3, 5,
10, 25kg","Trị đốm thân, xuất huyết, sưng trướng bụng, tuột nhớt, thối vây trên tôm, cá",,DN.TS13- 41
792,OXYTETRA,Oxytetracycline,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1, 3, 5,
10, 25kg","Trị bệnh phát sáng do vi khuẩn Vibrio gây ra trên tôm; nhiễm trùng do Pseudomonas, Edwardsiella (đốm đỏ, hậu môn sưng đỏ, xuất huyết ...) gây ra trên cá",,DN.TS13- 42
793,ST 48,"Sulfadimidine, Trimethoprim",Hỗn dịch,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1 lít, 5 lít","Trị nhiễm khuẩn trên cá do Aeromonas sp, Pseudomonas  gây xuất huyết, đốm đỏ, hậu môn sưng đỏ trên cá. Trị bệnh phát sáng do vi khuẩn Vibrio gây ra trên tôm",,DN.TS13- 43
794,Prazi One,Praziquantel,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1, 3, 5,
10, 25kg","Trị nội, ngoại ký sinh trùng trên cá như sán lá đơn chủ, rận, sán lá gan, sán dây",,DN.TS13- 44
795,BKC 800,Alkyl dimethyl benzyl ammonium chloride,Dung dịch thuốc sát trùng,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1 lít, 5 lít","Diệt vi khuẩn, nấm, nguyên sinh động vật, Sát trùng nguồn nước ao nuôi, dụng cụ nuôi tôm, cá",,DN.TS13- 45
796,Cotrim For,"Sulfadimidin, Trimethoprim",Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1, 3, 5,
10, 25kg","Trị nhiễm khuẩn trên cá do Aeromonas sp, Pseudomonas  gây xuất huyết, đốm đỏ, hậu môn sưng đỏ trên cá. Trị bệnh phát sáng do vi khuẩn Vibrio gây ra trên tôm",,DN.TS13- 46
797,DOXYSOL ST,Doxycycline,Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1, 3, 5,
10, 25kg","Trị bệnh đỏ thân trên tôm, cá do vi khuẩn Vibrio",,DN.TS13- 47
798,OVERSEP,"Alkyl dimethyl benzyl ammonium chloride, Glutaraldehyde",Dung dịch thuốc sát trùng,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1 lít, 5 lít","Diệt các loại vi khuẩn, nấm, nguyên sinh động vật trong nước nuôi cá; Sát trùng dụng cụ dùng trong nuôi trồng thuỷ sản.",,DN.TS13- 48
799,LEADER,"(1-(n-butylamino)- 1-1methylethyl- phosphonic acid, Cynocobalamin, Vitamin C",Thuốc nước,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1 lít, 5 lít","Chống stress, tăng sức đề kháng, tăng chuyển hóa dinh dưỡng trên tôm cá",,DN.TS13- 49
800,IODINE,P.V.P Iodine,Dung dịch thuốc sát trùng,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1 lít, 5 lít","Diệt các loại vi khuẩn, virus, nấm, nguyên sinh động vật trong nước nuôi cá; Sát trùng nguồn nước và dụng cụ dùng trong nuôi trồng thuỷ sản.",,DN.TS13- 50
801,FLOR ST,Florfenicol,Thuốc nước,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1 lít, 5 lít","Trị nhiễm trùng huyết, đường ruột, gan thận mủ, xuất huyết, phù đầu, đốm đỏ, trắng gan trên cá",,DN.TS13- 51
802,IMECTIN,Ivermectin,Thuốc nước,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1 lít, 5 lít","Trị nội ngoại ký sinh trùng như sán lá mang, trùng bánh xe, rận cá, giun sán, bám trên cá.",,DN.TS13- 52
803,HEPASOL,"Betain, Lysine, Methionin, Sorbitol",Thuốc nước,"Chai, Lọ, Can","10, 20, 50,
100, 250,
500ml, 1 lít, 5 lít",Tăng cường chức năng giải độc gan,,DN.TS13- 53
804,METOPRIM,"Organic selenium, Ormethoprim, Sulfadimethoxine, Vitamin C, Vitamin E",Thuốc bột,"Gói, Bao","10, 20, 50,
100, 200,
500g; 1, 3, 5,
10, 25kg","Trị bệnh do vi khuẩn Vibrio trên tôm như bệnh phát sáng, phân trắng, đứt râu,
phồng đuôi, hoại tử, đen mang, đốm nâu.",,DN.TS13- 54
805,TĐ-Amcovit.Plus,Florfenicol,Thuốc bột uống,"Gói, Bao","10,20,50,100,5
00, 1kg",Trị bệnh xuất huyết đường ruột ở cá gây ra bởi vi khuẩn Edwardsiella ictaluri,24 tháng,HYTS3-01
806,AQUA IODIN 9000,Povidone Iodine,Dung dịch sát trùng,"Chai, Can","10, 20, 50,
100, 500 ml;
1, 5, 10, 25 lít","Sát trùng, diệt khuẩn, xử lý nước, dọn tẩy ao nuôi tôm, cá; sát trùng dụng cụ nuôi",24 tháng,BD.TS7-01
807,AQUA TETRA 50%,Oxytetracycline HCl,Thuốc bột,"Túi Nhôm, Lọ, Thùng","10, 20, 50,
100, 200, 250,
500 g; 1; 5;
10; 25 kg","Trị bệnh phát sáng do vi khuẩn vibrio trên tôm; trị bệnh nhiễm khuẩn Pseudomonas sp., Aeromonas sp., Edwardsiella (đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá nuôi nước ngọt",24 tháng,BD.TS7-02
808,AQUA OS.SULFA,"Ormetoprim
, Sulfadimethoxine",Thuốc bột,"Túi Nhôm, Lọ, Thùng","10, 20, 50,
100, 200, 250,
500 g; 1; 5;
10; 25 kg","Trị các bệnh nhiễm khuẩn do vi khuẩn Aeromonas, Edwardsiella (đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá nuôi nước ngọt, tôm.",24 tháng,BD.TS7-03
809,AQUA PRAZIL,Praziquantel,Thuốc bột,"Túi Nhôm, Lọ, Thùng","10, 20, 50,
100, 200, 250,
500 g; 1; 5;
10; 25 kg","Trị nội, ngoại ký sinh trùng trên cá như sán lá đơn chủ, rận cá, sán lá gan, sán dây",24 tháng,BD.TS7-04
810,AQUA FLOR 10%,Florfenicol,Thuốc bột trộn thức ăn,"Túi Nhôm, Lọ, Thùng","10, 20, 50,
100, 200, 250,
500 g; 1; 5;
10; 25 kg",Trị bệnh xuất huyết đường ruột ở cá da trơn do vi khuẩn Edwardsiella ictaluri gây ra,24 tháng,BD.TS7-05
811,AQUA PROCARE,"Alkyl dimethyl benzyl ammonium chloride, Glutaraldehyde",Dung dịch sát trùng,"Chai, Can","10, 20,
50,100, 500
ml; 1, 5, 10,
25 lít","Diệt các loại vi khuẩn, nấm, nguyên sinh động vật trong nước ao nuôi tôm; sát trùng dụng cụ dùng trong nuôi trồng thủy sản",24 tháng,BD.TS7-06
812,AQUA FORTA,"Butafosfan, Vitamina B12",Thuốc bột,"Túi Nhôm, Lọ, Thùng","10, 20, 50,
100, 200, 250,
500 g; 1; 5;
10; 25 kg","Tăng cường quá trình trao đổi chất, hỗ trợ quá trình sinh trưởng của tôm, cá",24 tháng,BD.TS7-07
813,EMI-PRO,Bronopol,Dung dịch,"Chai, Can","100, 500 ml;
1,5,25 lít","Phòng và trị nấm thủy mi (Saprolegnia spp), trùng quả dưa (Ichthyophthyrius spp) trên cá",24 tháng,BD.TS7-08
814,EMI-IVER,Ivermectin,Dung dịch,"Chai, Can","20, 50,100,
200, 500 ml;
1, 5, 25 lít","Trị sán lá gan, sán ruột, giun tròn, giun kim trên cá",24 tháng,BD.TS7-09
815,EMI-FEN,"Fenbendazole, Tocopherol acetate",Thuốc bột,"Túi, Lọ, Thùng","10, 20, 50,
100, 200, 250,
500 g; 1, 5, 10
kg",Trị ký sinh trùng đường tiêu hóa trên cá,24 tháng,BD.TS7-10
816,EMI-BKC 80,Alkyl dimethyl benzyl ammonium Chlorid,Dung dịch sát trùng,"Chai, Can","100 ml; 1,5,25
lít","Khử trùng nguồn nước, sát trùng bể ương và vệ sinh dụng cụ dùng trong nuôi trồng thủy sản",24 tháng,BD.TS7-11
817,EMI-SUTRI 480,"Sulfadimidine, Trimethoprim",Thuốc bột,"Túi, Lọ, Thùng","10, 20, 50,
100, 200, 250,
500 g; 1, 5, 10
kg","Trị nhiễm khuẩn do Aeromonas sp, Pseudomonas fluorescen, Edwardsiella tarda (đốm đỏ trên thân, sưng đỏ hậu môn) gây ra trên cá nước ngọt. Trị phát sáng do vi khuẩn Vibrio gây ra trên tôm.",24 tháng,BD.TS7-12
818,EMI-TRIZINE 480,"Sulfadiazine sodium, Trimethoprim",Hỗn dịch,"Chai, Can","20, 50,100,
200, 500 ml;
1,2,5 lít","Trị nhiễm khuẩn gây đốm đỏ, hâu môn sưng đỏ, lở loét, xuất huyết, tuột nhớt (trắng da) do Vibrio spp, Pseudomonas spp, Aeromonas hydrophila, Streptococcus spp gây ra trên cá.",24 tháng,BD.TS7-13
819,EMI-FOSFO 40,Fosfomycin sodium,Dung dịch,"Chai, Can","20, 50,100,
200, 500 ml;
1,2,5 lít","Trị gan thận mủ, xuất huyết trên cá tra, ba sa",24 tháng,BD.TS7-14
820,EMI-FLO 20,Florfenicol,Dung dịch,"Chai, Can","20, 50,100,
200, 500 ml;
1,2,5 lít",Trị nhiễm trùng đường ruột do vi khuẩn Edwardsiella ictaluri gây ra trên cá.,24 tháng,BD.TS7-15
821,EMI-LEVA,Levamisole,Thuốc bột,"Túi,  Lọ, Thùng","10, 20, 50,
100, 200, 250,
500 g; 1; 5; 10
kg","Trị sán lá gan, sán ruột, các loại giun tròn, giun kim kí sinh trên cá",24 tháng,BD.TS7-16
822,PRAZIQUANTEL,Praziquantel,Dạng bột,"Túi, Hộp, Lon","5, 10, 20, 50,
100, 200, 250,
500g; 1, 3, 5,
10, 20, 25kg","Phòng và trị các loại ấu trùng sán dây, sán lá, giun tròn ký sinh trong ruột cá, trong ống dẫn mật trên cá",24 tháng,"HCM.TS50
-44"
823,OXYTETRACYC LINE PLUS,Oxytetracycline HCl,Dạng bột,"Túi, Hộp, Lon","5, 10, 20, 50,
100, 200, 250,
500g; 1, 3, 5,
10, 20, 25kg","Cá Hồi : Phòng trừ bệnh do Hemophilus piscium, Aeromonas salmonicida, Aeromonas liquefaciens, pseudomonas gây ra.
Cá tra : Bệnh tụ huyết trùng do Aeromonas liquefaciens và Pseudomonas Cá nước ngọt : Bệnh do vi khuẩn Flavobacterium psychrophilum
Tôm hùm : Bệnh do Aerococcus viridans gây ra.",24 tháng,"HCM.TS50
-45"
824,DOXYCYCLINE PLUS,Doxycyclin hyclat,Dạng bột,"Túi, Hộp, Lon","5, 10, 20, 50,
100, 200, 250,
500g; 1, 3, 5,
10, 20, 25kg","Trị bệnh đỏ thân trên tôm gây ra bởi vi khuẩn Vibrio alginolyticus
•ĐIiều trị đối với các bệnh do vi khuẩn Edwardsiella, Pseudomonas, Aeromaonas, Streptococcus, Vibrio,… thể hiện qua các triệu chứng: lở loét, gan, thận có mủ, đốm đỏ, đốm trắng, đỏ vòm miệng, xuất huyết toàn thân trên cá da trơn (cá tra).",24 tháng,"HCM.TS50
-46"
825,DOXY 10%,Doxycyclin hyclat,Dạng bột,"Túi, Hộp, Lon","5, 10, 20, 50,
100, 200, 250,
500g; 1, 3, 5,
10, 20, 25kg","Trị bệnh đỏ thân trên tôm gây ra bởi vi khuẩn Vibrio alginolyticus
Điều trị đối với các bệnh do vi khuẩn Edwardsiella, Pseudomonas, Aeromaonas, Streptococcus, Vibrio,… thể hiện qua các triệu chứng: lở loét, gan, thận có mủ, đốm đỏ, đốm trắng, đỏ vòm miệng, xuất huyết toàn thân trên cá da trơn (cá tra).",24 tháng,"HCM.TS50
-47"
826,DIỆT CHEP CHÉP-ỐC-HẾN,Niclosamide,Dạng bột,"Túi, Hộp, Lon","5, 10, 20, 50,
100, 200, 250,
500g; 1, 3, 5,
10, 20, 25kg","Diệt ký chủ trung gian truyền bệnh như ốc nước , ốc nước ngọt, ốc sên, ốc đinh, sò, vẹm, chem chép và các loài nhuyễn thể khác",24 tháng,"HCM.TS50
-48"
827,LEVASOL,Levamisole,Dạng bột,"Túi, Hộp, Lon","5, 10, 20, 50,
100, 200, 250,
500g; 1, 3, 5,
10, 20, 25kg","Phòng và trị giun, sán trên cá.",24 tháng,"HCM.TS50
-49"
828,TRIMESUL,"Sulfadiazin sodium, Trimethoprim",Thuốc bột uống,"Gói, Hộp, Lon","5,10,20,50,
100,250,500g;1
kg","Đặc trị các bệnh đường tiêu hóa, chướng hơi, phình ruột, trị các bệnh nhiễm trùng do vi khuẩn gây ra. Trị các bệnh sình bụng, lở loét, tuột nhớt, tuột vẩy, mòn đuôi ở cá.",24 tháng,"HCM.TS50
-6"
829,OK3-MYCINE,Oxytetracycline HCl,Thuốc bột uống,"Gói, Hộp, Lon","5,10,20,50,
100,250,500g;1
kg","Trị bệnh phát sáng do vi khuản Vibtro trên tôm, trị các bệnh nhiễm khuẩn do Aeromonas, pseudomonas (đốm đỏ, hậu môn sưng do xuất huyết) trên cá nuôi nước ngọt",24 tháng,"HCM.TS50
-7"
830,FLODACIN,Florfenicol,Thuốc bột uống,"Gói, Hộp, Lon","5,10,20,50,
100,250,500g;1
kg","Đặc trị bệnh nhiễm trùng huyết đường ruột do vi khuẩn Edwardsiella ictaluri gây ra trên cá tra, cá basa",24 tháng,"HCM.TS50
-8"
831,AQUACYCLINE 200,Oxytetracyclin HCl,Thuốc bột,"Gói, Thùng","5g, 10g, 25g,
50g, 100g,
200g, 500g,
1kg, 2kg, 5kg, 10kg, 20kg, 25kg","Trị bệnh phát sáng do vi khuẩn Vibrio sp trên tôm; trị các bệnh nhiễm khuẩn do Aeromonashydrophila, Pseudomonas, Edwardsiella gây bệnh trên cá.",24 tháng,"HCM.TS86
-01"
832,AQUACYCLINE 400,Oxytetracycline HCl,Dạng bột,"Gói, Thùng","5g, 10g, 25g,
50g, 100g,
200g, 250g,
500g, 1kg, 2kg, 5kg, 10kg, 20kg, 25kg","Trị bệnh phát sáng do vi khuẩn Vibrio sp trên tôm; trị các bệnh nhiễm khuẩn do Aeromonas hydrophila, Pseudomonas, Edwardsiella gây bệnh trên cá.",24 tháng,"HCM.TS86
-02"
833,AQUAMECTIN,Ivermectin,Dung dịch,"Chai, Can, Xô","20ml, 50ml, 100ml, 250ml, 500ml, 1lít, 2
lít, 5 lít, 10 lít,
25 lít, 30 lít",Phòng và trị nội ngoại ký sinh trùng trên cá,24 tháng,"HCM.TS86
-03"
834,"AQUATRISULFA
-O","Sulfadimethoxine sodium, Trimethoprim",Dung dịch,"Chai, Can, Xô","20ml, 50ml, 100ml, 250ml, 500ml, 1lít, 2
lít, 5 lít, 10 lít,
25 lít, 30 lít","Trị bệnh phát sáng do vi khuẩn Vibrio trên tôm; Trị nhiễm khuẩn do Aeromoras, Pseudomonas (đốm đỏ, hậu môn sưng đỏ, xuất huyết) trên cá nuôi nước ngọt.",24 tháng,"HCM.TS86
-04"
835,AQUAFLOR,Florfenicol,Dạng bột,"Gói, Thùng","5g, 10g, 25g,
50g, 100g,
200g, 250g,
500g, 1kg, 2kg, 5kg, 10kg, 20kg, 25kg","Trị bệnh do vi khuẩn Edwardsiella ictaluri, Aeromonas hydrophila,… gây ra xuất huyết đường ruột, gan thận có mủ trên cá nước ngọt.",24 tháng,"HCM.TS86
-05"
