,Application_Number,Trade_Name,Sponsor_Name,Expiration,Patent,Action,Date,Date_Withdrawn,Description,Ingredients,Number,Petitioner,Sponsor_When_Withdrawn,Address,City,CountryProvince,License_No.,Site_Name,State,Zip_Code
296,048-486,Robenz®,Phibro Animal Health Corp.,07/01/2035,9713516,Filed,04/13/2016,07/15/1996,"The petitioner requests to file an ANADA for a generic methimazole tablet that differs from the pioneer product, FELIMAZOLE, sponsored by Dechra, Ltd under NADA 141-292. The proposed change is in dosage form. The RLNAD is approved as a coated tablet. The proposed change is for a rapidly disintigrating tablet.","Diethylcarbamazine Citrate, Styrylpyridinium Chloride",16-P-1169,"e5 Pharma, LLC.","Bayer HealthCare LLC, Animal Health Division",Hwy 212 & 25,Dawson,United States,500-402,Jennie-O Turkey Store,MN,56232
297,048-761,"Aureomycin® 50 Granular, Aureomycin® 50 Granular A, Aureomycin® 70 Granular, Aureomycin® 80 Granular, Aureomycin® 90 Granular, Aureomycin® 90 Meal, Aureomycin® 100 Granular",Phibro Animal Health Corp.,12/18/2033,10441597,Denied,06/08/2016,03/14/2011,"The petitioner requests to file an ANADA for a generic methimazole tablet that differs from the pioneer product, FELIMAZOLE, sponsored by Dechra, Ltd under NADA 141-292. The proposed change is in dosage form. The RLNAD is approved as a coated tablet. The proposed change is for a rapidly disintigrating tablet.",Tylosin Phosphate,16-P-1169,"e5 Pharma, LLC.",Yoder Feed,25475 Cabot Avenue,Faribault,United States,500-382,Jennie-O Turkey Store,MN,55021
298,048-854,"Gecolate, Glycodex Injection",Summit Hill Laboratories,07/21/2035,10046124,Filed,07/12/2016,05/14/2001,"The petitioner requested to file an ANADA for a generic carprofen tablet for use in dogs that differs from the pioneer product, Rimadyl® (carprofen) chewable tablet, sponsored by Zoetis Inc. under 141-111. The proposed change is in doage form. The RLNAD is approved as a compressed tablet. The proposed change is for a soft chewable tablet.",Tylosin Phosphate,16-P-1991,Felix Pharmaceuticals Pvt. Ltd.,"Youngs, Inc.",2675 330th Street W,Northfield,United States,501-137,Jennie-O Turkey Store,MN,55057
299,048-913,Halox Wormer Drench,"Intervet, Inc.",09/29/2034,10092510,Approved,09/21/2016,05/03/2023,"The petitioner requested to file an ANADA for a generic carprofen tablet for use in dogs that differs from the pioneer product, Rimadyl® (carprofen) chewable tablet, sponsored by Zoetis Inc. under 141-111. The proposed change is in doage form. The RLNAD is approved as a compressed tablet. The proposed change is for a soft chewable tablet.",Cambendazole,16-P-1991,Felix Pharmaceuticals Pvt. Ltd.,Boehringer lngelheim Animal Health USA Inc.,East Main Street,Perham,United States,501-061,Jennie-O Turkey Store,MN,56573
300,049-032,Atgard® C Premix 9.6%,Cronus Pharma Specialities India Private Limited,05/28/2034,9499543,Filed,09/28/2016,07/24/1989,"The petitioner requests to file an ANADA for a generic enrofloxacin tablet for use in dogs and cats that differs from the pioneer product, Baytril® Taste Tabs (enrofloxacin) antibacterial tablets, sponsored by Bayer HealthCare, LLC, Animal Health Division, under 140-441. The proposed change is in dosage form. The RLNAD is approved as a compressed tablet. The proposed change is for a soft chewable tablet.",Lenperone Hydrochloride,16-P-3015,Felix Pharmaceuticals Pvt. Ltd.,"Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc.",303 3rd Street,Swanville,United States,501-073,Jennie-O Turkey Store,MN,56382
301,049-185,Betasone Aqueous Suspension,"Intervet, Inc.",01/27/2036,9700591,Approved,01/12/2017,03/18/1991,"The petitioner requests to file an ANADA for a generic enrofloxacin tablet for use in dogs and cats that differs from the pioneer product, Baytril® Taste Tabs (enrofloxacin) antibacterial tablets, sponsored by Bayer HealthCare, LLC, Animal Health Division, under 140-441. The proposed change is in dosage form. The RLNAD is approved as a compressed tablet. The proposed change is for a soft chewable tablet.",Tylosin Phosphate,16-P-3015,Felix Pharmaceuticals Pvt. Ltd.,Dale Alley Co.,64 North 7th Street,Barron,United States,500-361,Jennie-O Turkey Store,WI,54812
302,049-187,"Phen-Buta Vet Tablets, Phenylbutazone Tablets (Horses)",Bimeda Animal Health Limited,05/24/2030,8598229,Filed,10/16/2016,05/14/2001,"The petitioner requests to file an ANADA for a generic deracoxib  tablet for use in dogs that differs from the pioneer product, Derramaxx® (deracoxib) chewable tablet, sponsored by Elanco US, Inc. under 141-203. The proposed change is in dosage form. The RLNAD is approved as a compressed tablet. The proposed change is for a soft chewable tablet.",Ticarbodine,16-P-3427,Felix Pharmaceuticals Pvt. Ltd.,"Elanco Animal Health, A Division of Eli Lilly & Co.",5570 East Kalb-Zehr Road,DuBois,United States,501-392,JFS Milling Inc.,IN,47542
303,049-287,"PfiChlor® 50, PfiChlor® 70, PfiChlor® 100",Phibro Animal Health Corp.,03/17/2025,10130737,Approved,01/12/2017,05/03/2023,"The petitioner requests to file an ANADA for a generic deracoxib  tablet for use in dogs that differs from the pioneer product, Derramaxx® (deracoxib) chewable tablet, sponsored by Elanco US, Inc. under 141-203. The proposed change is in dosage form. The RLNAD is approved as a compressed tablet. The proposed change is for a soft chewable tablet.",Cambendazole,16-P-3427,Felix Pharmaceuticals Pvt. Ltd.,Boehringer lngelheim Animal Health USA Inc.,5167 North State Road 67,Bruceville,United States,501-572,"JFS Milling, Inc.",IN,47516
304,049-463,Coban™ plus BMD®,Elanco US Inc.,04/26/2026,7553825,Filed,10/17/2016,10/09/1990,"The petitioner requests to file an ANADA for a generic cefpodoxime  tablet for use in dogs that differs from the pioneer product, Simplicef® (cefpodoxime) tablet, sponsored by Zoetis Inc. under 141-232. The proposed change is in dosage form. The RLNAD is approved as a compressed, film-coated tablet. The proposed change is for a soft chewable tablet.",Tylosin Phosphate,16-P-3428,Felix Pharmaceuticals Pvt. Ltd.,"Simonsen Mill-Rendering Plant, Inc.",3362 Hwy 117 N,Rose Hill,United States,500-999,"Johnson Breeders, Inc. Feed Mill",NC,28458
305,049-553,Ripercol L,Zoetis Inc.,05/16/2027,8435969,Approved,01/10/2017,12/16/2005,"The petitioner requests to file an ANADA for a generic cefpodoxime  tablet for use in dogs that differs from the pioneer product, Simplicef® (cefpodoxime) tablet, sponsored by Zoetis Inc. under 141-232. The proposed change is in dosage form. The RLNAD is approved as a compressed, film-coated tablet. The proposed change is for a soft chewable tablet.",Tylosin Phosphate,16-P-3428,Felix Pharmaceuticals Pvt. Ltd.,J & R Specialty Supply Co.,461 Willard Street,Lime Springs,United States,501-318,"Johnson Farms Blending, Division of Iowa, Inc.",IA,52155
306,049-725,Anaprime® Opthakote Ophthalmic,Zoetis Inc.,08/11/2025,8268802,Filed,02/27/2017,12/16/2005,"The petitioner requests to file an ANADA for a generic firocoxib solution 0.45% w/v (weight per volume) for use in horses that differs from the pioneer product, Equioxx® (firocoxib) Oral Paste, sponsored by Merial Ltd, under 141-253. The proposed change is in dosage form and strength. The RLNAD is approved as an oral paste at 8.2 mg/g. The administration dosage will remain the same at 0.045 mg/lb. The proposed change in strength and dosage form is for a solution at 0.45% w/v.",Tylosin Phosphate,17-P-1221,"Aurora Pharmaceutical, LLC",M & M Livestock Products Co.,105 Gilmore Street,Dana,United States,500-961,"Juhl Feed, Inc.",IA,50069-4   
307,049-726,Optiprime® Opthakote Ophthalmic Solution,Zoetis Inc.,11/08/2025,8088754,Approved,05/19/2017,05/02/1991,"The petitioner requests to file an ANADA for a generic firocoxib solution 0.45% w/v (weight per volume) for use in horses that differs from the pioneer product, Equioxx® (firocoxib) Oral Paste, sponsored by Merial Ltd, under 141-253. The proposed change is in dosage form and strength. The RLNAD is approved as an oral paste at 8.2 mg/g. The administration dosage will remain the same at 0.045 mg/lb. The proposed change in strength and dosage form is for a solution at 0.45% w/v.",Tylosin Phosphate,17-P-1221,"Aurora Pharmaceutical, LLC",Fasco Mills Co.,"Rt. 522, RD #1, Box 131J",Selinsgrove,United States,500-879,"K & L Feeds, Inc.",PA,17870
308,049-892,Sulfamethazine Spanbolet II,Zoetis Inc.,05/08/2032,9328164,Filed,02/27/2017,11/02/2018,"The petitioner requests to file an ANADA for a generic omeprazole suspension 4.5% w/v (weight per volume) for use in horses that differs from the pioneer product, GastroGard® (omeprazole) Oral Paste, sponsored by Merial Ltd, under 141-123. The proposed change is in dosage form and strength. The RLNAD is approved as an oral paste at a concentration of 37% w/w in an adjusted dose syringe. The administration dosage will remain the same at 1.8 mg/lb (4 mg/kg) of body weight for active gastric ulcers and 0.9 mg/lb (2 mg/kg) of body weight for prevention of ulcers. The proposed change in strength and dosage form is for a multi-dose oral suspension with a lower strength of 4.5% w/v.",Pyrantel Tartrate,17-P-1225,"Aurora Pharmaceutical, LLC","Virbac AH, Inc.",7148 State Highway 199,Upper Sundusky,United States,500-835,"Kalmbach Feeds, Inc.",OH,43351
309,049-934,Coyden 25® with Bacitracin Zinc,Huvepharma EOOD,05/08/2032,9328164,Denied,05/18/2017,04/30/1990,"The petitioner requests to file an ANADA for a generic omeprazole suspension 4.5% w/v (weight per volume) for use in horses that differs from the pioneer product, GastroGard® (omeprazole) Oral Paste, sponsored by Merial Ltd, under 141-123. The proposed change is in dosage form and strength. The RLNAD is approved as an oral paste at a concentration of 37% w/w in an adjusted dose syringe. The administration dosage will remain the same at 1.8 mg/lb (4 mg/kg) of body weight for active gastric ulcers and 0.9 mg/lb (2 mg/kg) of body weight for prevention of ulcers. The proposed change in strength and dosage form is for a multi-dose oral suspension with a lower strength of 4.5% w/v.",Tylosin Phosphate,17-P-1225,"Aurora Pharmaceutical, LLC",Vita Plus Corp.,1980 Kimbal Ave Bldg 104,Manhattan,United States,500-817,Kansas State Univ/O.H. Kruse Feed Tech Innov Ctr,KS,66506
310,049-948,Aquachel 100 mg,Zoetis Inc.,02/08/2038,10780168,Filed,07/17/2017,02/27/1995,"The petitioner requests to file an ANADA for a generic pergolide mesylate pellet for use in horses that differs from the pioneer product, Prascend® (pergolide mesylate) tablets, sponsored by Boehringer Ingelheim Vetmedica, Inc., under 141-331. The proposed change is in dosage form. The RLNAD is approved as a compressed tablet. The proposed change is for an extruded pellet to be used as a top-dress on the horse's daily ration.",Tylosin Phosphate,17-P-4255,Kindred Biosciences,"Feed Specialties Co., Inc.",1919 Grand Avenue,Sioux City,United States,501-024,"Kay Dee Feed, LLC",IA,51106
311,055-002,Tevcocin,Cronus Pharma Specialities India Private Limited,08/29/2027,7977484,Approved,09/29/2017,05/14/2001,"The petitioner requests to file an ANADA for a generic pergolide mesylate pellet for use in horses that differs from the pioneer product, Prascend® (pergolide mesylate) tablets, sponsored by Boehringer Ingelheim Vetmedica, Inc., under 141-331. The proposed change is in dosage form. The RLNAD is approved as a compressed tablet. The proposed change is for an extruded pellet to be used as a top-dress on the horse's daily ration.",Tylosin Phosphate,17-P-4255,Kindred Biosciences,"Golden Sun Feeds, Inc.",8mi W US60/2.5mi N FM1057,Hereford,United States,500-917,Keeling Cattle Feeders,TX,79045
312,055-012,Chloronex® Sulmet® ,Huvepharma EOOD,03/23/2039,11617792,Filed,12/21/2017,05/14/2001,"The petitioner requests to file an ANADA for a generic cyclosporine oral solution (10% w/w cyslosporine non-aqueous solution) that differs from the pioneer product, Atopica® gelatin capsule, sponsored by Elanco US, Inc. under NADA 141-218. The generic product will differ in dosage form.","Sulfamethazine, Tylosin Phosphate",17-P-6968,"Ceva Animal Health, LLC","Golden Sun Feeds, Inc.",911 Gaines Ave,Hot Springs,United States,500-816,"Keith Smith Co, Inc.",AR,71901
313,055-013,Omnipen 250 mg,Zoetis Inc.,10/01/2028,8497377,Approved,03/15/2018,07/24/1989,"The petitioner requests to file an ANADA for a generic cyclosporine oral solution (10% w/w cyslosporine non-aqueous solution) that differs from the pioneer product, Atopica® gelatin capsule, sponsored by Elanco US, Inc. under NADA 141-218. The generic product will differ in dosage form.",Lenperone Hydrochloride,17-P-6968,"Ceva Animal Health, LLC","Fort Dodge Animal Health, Division of Wyeth, a wholly owned subsidiary of Pfizer, Inc.",106 Main Street,Sutherland,United States,500-341,"Ken's Feed Store, Inc.",IA,51058
314,055-018,Chlortetracycline,Huvepharma EOOD,11/08/2035,10058538,Filed,03/19/2018,09/03/2013,"The petitioner requets to file an ANADA for a generic ivermectin/pyrantel pamoate flavored soft tab that differs from the pioneer product, Heartgard® Plus Chewables, sponsored by Merial Ltd., under NADA 140-971. The generic product will differ in dosage form (flavored soft tab versus chewable tablet).",Tylosin Phosphate,18-P-1185,Provetica Animal Health LLC,"Quali-Tech Products, Inc.",203 1st Avenue North,Altoona,United States,500-681,Kent Nutrition Group Inc.,IA,50009
315,055-019,Bulk Chlortetracycline Hydrochloride,Phibro Animal Health Corp.,12/14/2035,9409919,Filed,03/19/2018,04/11/2011,"The petitioner requests to file an ANADA for a generic ivermectin/pyrantel pamoate flavored soft tab that differs from the pioneer product, Heartgard® PlusChewables, sponsored by Merial Ltd., under NADA 140-971. The generic product will differ in dosage form (flavored soft tab versus chewable tablet).","Sulfamethazine, Tylosin Phosphate",18-P-1185,Provetica Animal Health LLC,"Quali-Tech Products, Inc.",2233 West Airline Highway,Waterloo,United States,500-679,Kent Nutrition Group Inc.,IA,50703
316,055-020,Aureomycin® Soluble Powder,Phibro Animal Health Corp.,04/10/2034,10307405,Approved,06/13/2018,04/02/1997,"The petitioner requests to file an ANADA for a generic ivermectin/pyrantel pamoate flavored soft tab that differs from the pioneer product, Heartgard® PlusChewables, sponsored by Merial Ltd., under NADA 140-971. The generic product will differ in dosage form (flavored soft tab versus chewable tablet).","Sulfamethazine, Tylosin Phosphate",18-P-1185,Provetica Animal Health LLC,Land OLakes Purina Feed LLC,8679 Kent Feed Road,Beardstown,United States,500-683,Kent Nutrition Group Inc.,IL,62618
317,055-028,Quartermaster® Suspension,HQ Specialty Pharma Corp.,06/20/2028,8410153,Filed,04/02/2018,03/10/2014,"The petitioner requests to file an ANADA for a generic pimobendan that differs from the pioneer product, Vetmedin® (pimobendan) Tablets, sponsored by Boehringer Ingelheim Vetmedica, Inc. under NADA 141-273.  The generic product will differ in dosage form.  The proposed change is from a compressed tablet (pioneer product) to a soft chewable tablet.","Bambermycins, Monensin, Roxarsone",18-P-1349,Felix Pharmaceuticals Pvt. Ltd.,Huvepharma EOOD,1612 South Bend Road,Rockford,United States,500-680,Kent Nutrition Group Inc.,IL,61109
318,055-030,Polyflex®,Boehringer lngelheim Animal Health USA Inc.,01/25/2028,7964204,Approved,06/13/2018,09/03/2013,"The petitioner requests to file an ANADA for a generic pimobendan that differs from the pioneer product, Vetmedin® (pimobendan) Tablets, sponsored by Boehringer Ingelheim Vetmedica, Inc. under NADA 141-273.  The generic product will differ in dosage form.  The proposed change is from a compressed tablet (pioneer product) to a soft chewable tablet.","Nicarbazin, Penicillin G Procaine, Roxarsone",18-P-1349,Felix Pharmaceuticals Pvt. Ltd.,Phibro Animal Health Corp.,2407 South 400 East,Logansport,United States,500-684,Kent Nutrition Group Inc.,IN,46947
319,055-032,Dicloxin Capsules,Zoetis Inc.,01/31/2033,9233100,Filed,04/02/2018,09/03/2013,"The petitioner requests to file an ANADA for a generic marbofloxacin that differs from the pioneer product, Zeniquin® (marbofloxacin) Tablets, sponsored by Zoetis Inc. under NADA 141-151.  The generic product will differ in dosage form.  The proposed change is from a compressed tablet (pioneer product) to a compressed chewable tablet.","Nicarbazin, Penicillin G Procaine",18-P-1351,Felix Pharmaceuticals Pvt. Ltd.,Phibro Animal Health Corp.,725 Hull Road,Mason,United States,500-688,Kent Nutrition Group Inc.,MI,48854
320,055-039,Chlortetracycline,Huvepharma EOOD,12/28/2026,8623875,Approved,06/07/2018,11/27/1992,"The petitioner requests to file an ANADA for a generic marbofloxacin that differs from the pioneer product, Zeniquin® (marbofloxacin) Tablets, sponsored by Zoetis Inc. under NADA 141-151.  The generic product will differ in dosage form.  The proposed change is from a compressed tablet (pioneer product) to a compressed chewable tablet.",Tylosin Phosphate,18-P-1351,Felix Pharmaceuticals Pvt. Ltd.,"Cargill, Inc., Nutrena Feed Division",2855 West Arrow,Marshall,United States,500-685,Kent Nutrition Group Inc.,MO,65340
321,055-042,Ampi-Tab,Zoetis Inc.,01/31/2033,10596156,Filed,04/02/2018,12/16/2005,"The petitioner requests to file an ANADA for a generic marbofloxacin that differs from the pioneer product, Zeniquin® (marbofloxacin) Tablets, sponsored by Zoetis Inc. under NADA 141-151.  The generic product will differ in dosage form.  The proposed change is from a compressed tablet (pioneer product) to a soft chewable tablet.",Tylosin Phosphate,18-P-1352,Felix Pharmaceuticals Pvt. Ltd.,Kerber Milling Co.,5445 East 23rd Street,Columbus,United States,500-686,Kent Nutrition Group Inc.,NE,68601
322,055-047,Chloromycetin Palmitate Oral Suspension,Zoetis Inc.,01/31/2033,9931320,Approved,06/07/2018,05/03/2023,"The petitioner requests to file an ANADA for a generic marbofloxacin that differs from the pioneer product, Zeniquin® (marbofloxacin) Tablets, sponsored by Zoetis Inc. under NADA 141-151.  The generic product will differ in dosage form.  The proposed change is from a compressed tablet (pioneer product) to a soft chewable tablet.",Thiabendazole,18-P-1352,Felix Pharmaceuticals Pvt. Ltd.,Boehringer lngelheim Animal Health USA Inc.,1500 RMT,Sheldon,United States,501-651,"Kent Nutrition Group, Inc.",IA,51201
323,055-051,"Chloromycetin Tablets 100 mg, Chloromycetin Tablets 250 mg, Chloromycetin Tablets 500 mg",Zoetis Inc.,12/28/2026,9095138,Filed,05/03/2018,02/12/1998,"The petitioner requests to file an ANADA for a generic deracoxib tablet for use in dogs that differs from the pioneer product, Derramaxx® (deracoxib) chewable tablet, sponsored by Elanco US, Inc. under 141-203. The proposed change is for a scored tablet presentation on the 12 mg and 100 mg sizes.",Phosmet,18-P-1740,Provetica Animal Health LLC,Wellmark International,11431 Hopewell Road,Hagerstown,United States,500-321,"Kent Nutrition Group, Inc.",MD,21740
324,055-054,PolyMast® Intramammary Infusion,Boehringer lngelheim Animal Health USA Inc.,12/28/2026,8231888,Denied,08/08/2018,10/18/1991,"The petitioner requests to file an ANADA for a generic deracoxib tablet for use in dogs that differs from the pioneer product, Derramaxx® (deracoxib) chewable tablet, sponsored by Elanco US, Inc. under 141-203. The proposed change is for a scored tablet presentation on the 12 mg and 100 mg sizes.",Tylosin Phosphate,18-P-1740,Provetica Animal Health LLC,"Growmark, Inc.",520 Hall Street,Bow,United States,501-196,"Kent Nutrition Group, Inc.",NH,03304
325,055-058,Dry-Clox® Intramammary Infusion,Boehringer lngelheim Animal Health USA Inc.,09/29/2041,12115162,Filed,06/15/2018,05/03/2023,"The petitioner requests to file an ANADA for a generic praziquantel tablet for use in dogs that differs from the pioneer product, Tapeworm Dewormer for Dogs (praziquantel) 34 mg tablet, sponsored by Bayer HealthCare, LLC, Animal Health Division under 111-798. The proposed change is for a soft, chewable scored tablet - light brown in color.",Triamcinolone Acetonide,18-P-2344,"Noble Pharma, LLC",Boehringer lngelheim Animal Health USA Inc.,50 William Street,Arcade,United States,501-302,"Kent Nutrition Group, Inc.",NY,14009
326,055-059,Viceton® Tablets,Bimeda Animal Health Limited,06/30/2031,8987283,Filed,06/20/2018,04/21/2014,"The petitioner requests to file an ANADA for a generic carprofen chewable tablet for use in dogs that differs from the reference listed new animal drug (RLNAD), RIMADYL® (carprofen) chewable tablets, sponsored by Zoetis Inc. under NADA 141-111. The proposed change is for the addition of two tablet strengths: 37.5 mg (unscored) and 50 mg (scored). The RLNAD is approved in 25 mg, 75 mg, and 100 mg tablet strengths; all tablet strengths approved for the RLNAD are scored.",Tylosin Phosphate,2018-P-2407,"Ray Law Firm, PLLC","Wayne Feed Division, Continental Grain Co.",1 Webster Street,Richford,United States,501-152,"Kent Nutrition Group, Inc.",VT,05476
327,055-060,"Penicillin G Potassium, USP",Zoetis Inc.,07/18/2033,9522151,Approved,11/09/2018,12/22/1989,"The petitioner requests to file an ANADA for a generic carprofen chewable tablet for use in dogs that differs from the reference listed new animal drug (RLNAD), RIMADYL® (carprofen) chewable tablets, sponsored by Zoetis Inc. under NADA 141-111. The proposed change is for the addition of two tablet strengths: 37.5 mg (unscored) and 50 mg (scored). The RLNAD is approved in 25 mg, 75 mg, and 100 mg tablet strengths; all tablet strengths approved for the RLNAD are scored.","Sulfamethazine, Tylosin Phosphate",2018-P-2407,"Ray Law Firm, PLLC","Triple ""F"", Inc.",1817 East Main Street,Emmetsburg,United States,500-125,Kerber Milling Company,IA,50536
328,055-064,Princillin Injection,Zoetis Inc.,04/09/2030,8133899,Filed,07/30/2018,09/06/2005,"The petitioner requests to file an ANADA for a generic methimazole oral solution for use in cats that differs from the reference listed new animal drug (RLNAD), FELIMAZOLE® Coated Tablets (methimazole), sponsored by Dechra, Ltd. under NADA 141-292. The proposed change is for an oral solution (5 mg/mL strength); the RLNAD is approved as coated tablets in 2.5 mg and 5 mg tablet strengths.",Nifurpirinol,2018-P-2985,"Norbrook Laboratories, Ltd.",Abbott Laboratories,1006 Industrial Avenue,Grinnell,United States,500-379,Key Cooperative,IA,50112
329,055-066,Princillin Injection,Zoetis Inc.,03/04/2025,8859554,Approved,10/12/2018,04/21/2014,"The petitioner requests to file an ANADA for a generic methimazole oral solution for use in cats that differs from the reference listed new animal drug (RLNAD), FELIMAZOLE® Coated Tablets (methimazole), sponsored by Dechra, Ltd. under NADA 141-292. The proposed change is for an oral solution (5 mg/mL strength); the RLNAD is approved as coated tablets in 2.5 mg and 5 mg tablet strengths.","Sulfamethazine, Tylosin Phosphate",2018-P-2985,"Norbrook Laboratories, Ltd.","Virbac AH, Inc.",4634 E Washington Street,Hamilton,United States,500-956,Keystone Cooperative ,MI,49419
330,055-069,Orbenin DC™,"Intervet, Inc.",04/03/2037,12011441,Filed,08/17/2018,01/17/1989,"The petitioner requests to file an ANADA for a generic firocoxib oral solution for use in horses that differs from the reference listed new animal drug (RLNAD), Equioxx® (firocoxib) Oral Paste, sponsored by Merial, Inc. under NADA 141-253. The proposed change is in dosage form and strength. The petitioner proposes a generic product that is an oral solution with a strength of 1.14% w/v (weight per volume). The RLNAD is approved as an oral paste; the strength of the RLNAD is 8.2 mg/g.","Sulfamethazine, Tylosin",2018-P-3211,Aurora Pharmaceutical LLC,SmithKline Beecham Animal Health,13400 VanBuren St.,Holland,United States,500-796,Keystone Cooperative Inc ,MI,49423
331,055-070,Dariclox®,"Intervet, Inc.",06/23/2027,8846679,Denied,11/15/2018,06/20/2016,"The petitioner requests to file an ANADA for a generic firocoxib oral solution for use in horses that differs from the reference listed new animal drug (RLNAD), Equioxx® (firocoxib) Oral Paste, sponsored by Merial, Inc. under NADA 141-253. The proposed change is in dosage form and strength. The petitioner proposes a generic product that is an oral solution with a strength of 1.14% w/v (weight per volume). The RLNAD is approved as an oral paste; the strength of the RLNAD is 8.2 mg/g.",Tylosin Phosphate,2018-P-3211,Aurora Pharmaceutical LLC,Cross Vetpharm Group Ltd.,309 Martindale Road,Ephrata,United States,500-884,Keystone Mills,PA,17522
332,055-071,Princillin Injection 200 mg,Zoetis Inc.,04/12/2026,8980894,Filed,09/18/2018,07/15/1996,"The petitioner requests to file an ANADA for a generic pimobendan oral solution for use in dogs that differs from the reference listed new animal drug (RLNAD), Vetmedin® (pimobendan) Chewable Tablets, sponsored by Boehringer Ingelheim Vetmedica, Inc. under NADA 141-273. The proposed change is for an oral solution (4 mg/mL strength); the RLNAD is approved as chewable tablets in 1.25 mg, 2.5 mg, 5 mg, and 10 mg tablet strengths.",Trichlorfon,2018-P-3535,Norbrook Laboratories Limited,"Bayer HealthCare LLC, Animal Health Division",6850 County Road 36,Vega,United States,501-421,Kirkland Feedyard,TX,79092
333,055-072,"Albacillin® Suspension, Special Formula 17900-Forte® Suspension",Zoetis Inc.,03/23/2025,10537588,Approved,12/14/2018,03/14/2011,"The petitioner requests to file an ANADA for a generic pimobendan oral solution for use in dogs that differs from the reference listed new animal drug (RLNAD), Vetmedin® (pimobendan) Chewable Tablets, sponsored by Boehringer Ingelheim Vetmedica, Inc. under NADA 141-273. The proposed change is for an oral solution (4 mg/mL strength); the RLNAD is approved as chewable tablets in 1.25 mg, 2.5 mg, 5 mg, and 10 mg tablet strengths.",Tylosin Phosphate,2018-P-3535,Norbrook Laboratories Limited,"Truow Nutrition, Inc.",36177 County Road 186,Melrose,United States,500-542,"Klaphake Feed Mill, Inc.",MN,56352
334,055-073,Panmycin® Tablets,Zoetis Inc.,03/23/2025,11413285,Filed,09/27/2018,07/15/1996,"The petitioner requests a decision on the petition for reconsideration for suitability petition FDA-2016-P-1169. In suitability petition FDA-2016-P-1169, the petitioner requested to file an ANADA for a generic methimazole tablet for use in cats that differed from the reference listed new animal drug (RLNAD), FELIMAZOLE® Coated Tablets (methimazole), sponsored by Dechra, Ltd. under NADA 141-292. The proposed change was in dosage form. The petitioner proposed a rapidly-disintegrating tablet; the RLNAD is approved as coated tablets. The petitioner was issued a denial letter dated June 10, 2016.","Diethylcarbamazine Citrate, Styrylpyridinium Chloride",2016-P-1169,"e5 Pharma, LLC","Bayer HealthCare LLC, Animal Health Division",2240 Avenue P,Lyons,United States,500-739,KM Feeders,KS,67554
335,055-074,Ampi-Bol,Zoetis Inc.,04/03/2037,10537570,Denied,11/02/2018,07/19/1991,"The petitioner requests a decision on the petition for reconsideration for suitability petition FDA-2016-P-1169. In suitability petition FDA-2016-P-1169, the petitioner requested to file an ANADA for a generic methimazole tablet for use in cats that differed from the reference listed new animal drug (RLNAD), FELIMAZOLE® Coated Tablets (methimazole), sponsored by Dechra, Ltd. under NADA 141-292. The proposed change was in dosage form. The petitioner proposed a rapidly-disintegrating tablet; the RLNAD is approved as coated tablets. The petitioner was issued a denial letter dated June 10, 2016.",Diatrizoate Meglumine,2016-P-1169,"e5 Pharma, LLC",Sterling Drug Inc.,"Rt. 1, Box 93",Lyons,United States,500-761,"Knight Feedlot, Inc.",KS,67554
336,055-076,"Albaplex® 3x Tablets, Albaplex® Tablets",Zoetis Inc.,06/13/2031,10981942,Filed,09/27/2018,10/15/2012,"The petitioner requests to file an ANADA for a generic nicarbazin Type A medicated article for use in chickens (except laying hens) that differs from the reference listed new animal drug (RLNAD), Nicarb® 25% (nicarbazin) Type A medicated article, sponsored by Phibro Animal Health Corp. under NADA 009-476. The proposed change is in dosage form from a powder formulation (RLNAD) to a granular formulation (proposed generic product).",Tylosin Phosphate,2018-P-3672,Zoetis Inc.,Springfield Milling Corp.,815 W 24th Street,Ogden,United States,501-267,Knox McDaniel Company,UT,84402
337,055-078,amoxi-tabs®,Zoetis Inc.,08/22/2028,8106021,Approved,12/21/2018,07/19/1996,"The petitioner requests to file an ANADA for a generic nicarbazin Type A medicated article for use in chickens (except laying hens) that differs from the reference listed new animal drug (RLNAD), Nicarb® 25% (nicarbazin) Type A medicated article, sponsored by Phibro Animal Health Corp. under NADA 009-476. The proposed change is in dosage form from a powder formulation (RLNAD) to a granular formulation (proposed generic product).",Niclosamide,2018-P-3672,Zoetis Inc.,"Bayer HealthCare LLC, Animal Health Division",109 Tyson Road,Hope Hull,United States,500-370,"Koch Farms of Alabama, LLC",AL,36043
338,055-079,Ampi-Ject,Zoetis Inc.,01/30/2029,7838499,Filed,12/03/2018,02/13/2012,"The petitioner requests to file an ANADA for a generic cyclosporine oral solution for use in dogs that differs from the reference listed new animal drug (RLNAD), Atopica™ (cyclosporine capsules) USP MODIFIED, sponsored by Elanco US Inc. under NADA 141-218. The proposed change is for an unencapsulated oral solution (10% w/w cyclosporine non-aqueous solution); the RLNAD is approved as gelatin capsules in 10 mg, 25 mg, 50 mg, and 100 mg capsule strengths.",Diethylcarbamazine Citrate,2018-P-4642,Provetica Animal Health LLC,"Evsco Pharmaceuticals, An Affiliate of IGI, Inc.",35800 Hwy 21North,Talladega,United States,501-296,Koch Farms of Ashland LLC,AL,35160
