"letter","key","content"
"R","Renunciation of citizenship
      Related term:
        Renunciation document
    ","The process by which a citizen willingly gives up officially his or her Canadian citizenship. Once a citizenship judge approves an application for renunciation, a renunciation certificate is issued.
      See [Resumption of citizenship](#resumption_of_citizenship).
    "
"R","Representative","
      A person who has the permission of someone wanting to immigrate to Canada or obtain Canadian citizenship to conduct business with IRCC on their behalf. The representative can be paid or unpaid. When someone appoints a representative, they may also authorize IRCC to share information from their case file with this person. Canada’s citizenship and immigration laws cover representatives and defines the terms of their services.
      See [Citizenship and Immigration consultant](#immigration_consultant), [Authorized representative](#authorized_representative).
    "
"R","Residence requirement (citizenship)","
      For applicants who apply before June 11, 2015, this is the amount of time a permanent resident must live in Canada to be eligible for a grant of Canadian citizenship.
      Adults must have lived in Canada for at least three years (1,095 days) in the four years immediately preceding the date of application. It does not apply to children under 18 years old. 
    "
"R","Residence requirement (permanent resident)","
      The amount of time a permanent resident must live in Canada to keep their status as a permanent resident.
      In most circumstances, permanent residents must live in Canada for at least two years (730 days) out of five. There may be [times when you can count time outside of Canada](https://www.canada.ca/en/immigration-refugees-citizenship/services/application/application-forms-guides/guide-5445-applying-permanent-resident-card-card-first-application-replacement-renewal-change-sex-designation.html) meeting this requirement.
    "
"R","Restoration of status (as a visitor, student or worker)","
      A visitor, worker or student who loses status can apply to restore it within 90 days. To be eligible, you must:
      
        submit the application within 90 days of losing status
        explain the facts and circumstances that prevented you from complying with the conditions of the permit, and
        meet all the remaining conditions on the permit.
      
      There is a fee to restore status.
    "
"R","Resumption of citizenship","
      The process by which a former citizen may resume his or her Canadian citizenship back after one year of residence in Canada as a permanent resident preceding immediately the date of application. They must become a permanent resident first.
      See [Renunciation of citizenship](#renunciation_of_citizenship).
    "
"R","Retired","Retired means you have willingly stopped working. This is usually because of age."
"R","Revocation of citizenship
      Related terms:
        Loss of citizenship
        Cease to be a citizen
    ","
      A person’s citizenship may be revoked (taken away) for any one of these reasons:
      
        false representation
        fraud
        knowingly hiding information
      
      If a person’s citizenship is revoked, they must wait 10 years before they can be granted citizenship again.
    "
"R","Right of permanent residence fee","A charge paid by a principal applicant (with some exceptions), and a spouse or common-law partner travelling with them, before the applicant can become a permanent resident of Canada.""letter","key","content"
"S","Safe third country","A safe third country is a country, other than Canada and the country of alleged persecution, where an individual may make a claim for refugee protection. In Canada, the Immigration and Refugee Protection Act outlines the criteria for designating a country as a safe third country."
"S","Satisfactory academic standing","Satisfactory academic standing means getting a certain mark or grade point average in a program of study, or completing certain program requirements. Different programs of study will have different standards of what is considered “satisfactory”. Check with your educational institution. "
"S","Secondary school
      Related terms:
        High school
        Middle school
    ","
      An institution that provides an education to students who have completed elementary school. These schools usually include grades 9 through 12 (although, in some areas, they start with grade 7). In the province of Quebec, secondary grades are called grades 1 through 5.
      Applicants for primary and secondary schools do not need a designated learning institution (DLI) number on their application form.
    "
"S","Sector council","An organization that brings together representatives from business, labour, education, and professional groups within an industry or profession."
"S","Self-employed person","An immigrant admitted to Canada because they have [relevant experience](#relevant_experience) in working for himself or herself. The person must intend and be able to become self-employed in Canada in the arts or athletics."
"S","Self-supporting refugee","An applicant accepted as a Convention refugee abroad, or as a member of the Country of Asylum Class, who has sufficient financial resources to support themselves in Canada."
"S","Separated","Separated means that two people are married but no longer living together, and they do not wish to live together again. They may be waiting for a divorce or have not yet decided to divorce."
"S","Serious criminality","A category of criminal inadmissibility that applies to people who have committed or been convicted of an offence, inside or outside Canada, punishable by a sentence of at least 10 years in Canada, or convicted of an offence in Canada for which the person received a sentence of more than six months. Referred to in Canada as an indictable offence."
"S","Service provider organization (SPO)
      Related terms:
        Immigrant settlement agency
        Immigrant service provider
        Settlement agency
        Immigrant-serving agency
        Immigrant-serving organization
        Settlement assistance organization
        Immigrant settlement association
    ","
      A service provider organization (SPO) is an agency that provides services for newcomers to Canada.
      Service provider organizations offer programs that can give newcomers resources and training to live and work in Canada. Their programs can help refugees who often have a difficult time with day-to-day tasks like finding an apartment, taking public transportation, or making a doctor’s appointment.
      These organizations can also help refugees complete forms, get permanent resident cards, health insurance, social insurance numbers, etc. They also offer interpretation and translation services to help with such special needs as giving medical backgrounds to doctors.
      Visit IRCC’s website for more information on the many [services provided by SPOs](https://www.canada.ca/en/immigration-refugees-citizenship/services/refugees/help-within-canada/government-assisted-refugee-program/providers.html).
    "
"S","Settlement funds","
      This term can refer to one of two things.
      
        Sufficient and available funds that economic immigrants must prove they have to settle in Canada. The funds must be:
          
            available,
            transferable and
            not committed to debts or other obligations.
          
          These funds will cover fees, relocation costs and costs to settle.
        
        Funds allocated by the Government of Canada to pay for measures to develop welcoming and inclusive communities, or to help newcomers settle into their new communities.
      
    "
"S","Sibling (brother or sister)","
      For Express Entry, a sibling means your brother or sister related to you by:
      
        blood (biological):
          
            brother or sister
            half-brother or sister
          
        
        adoption:
          
            adopted brother or sister
          
        
        marriage:
          
            includes a step-brother or step-sister who is not related to you by blood or adoption and your parents are married or in a common law relationship
            this is true on both the date you submit your profile and when you submit your application for permanent residence
          
        
      
      To get points for having at least one sibling in Canada, they
      
        must be 18 years old
        must be a citizen or permanent resident of Canada
        can be the brother or sister of your spouse or common-law partner who will come with you to Canada.
      
    "
"S","Single-entry visa
      Related terms:
        Tourist visa
        Visitor visa
    ","
      A visa that allows someone to enter Canada only once.
      See [Temporary resident visa](#temporary_resident_visa).
    "
"S","Skill level","To be eligible for the [Federal Skilled Worker](#federal_skilled_worker) Class and [Canadian Experience Class](#canadian_experience_class), foreign workers must have work experience at specified skill levels. Skill levels for occupations come from the [National Occupational Classification (NOC)](http://noc.esdc.gc.ca/English/noc/welcome.aspx?ver=11) system. They are classified by type of work and training required to be proficient."
"S","Skilled worker","See [Federal skilled worker](#federal_skilled_worker)."
"S","Sponsor","A Canadian citizen or permanent resident who is 18 years of age or older, and who legally supports a member of the Family Class to become a permanent resident of Canada."
"S","Sponsored person","A foreign national who has applied for permanent residence under the Family Class, has an approved Canadian sponsor and meets the requirements of the Family Class."
"S","Sponsorship agreement","A signed contract between a sponsored immigrant and his or her sponsor, outlining the obligations and commitments of both parties. The agreement is required before the sponsored person can immigrate to Canada."
"S","Sponsorship agreement-holder (SAH)","
      An incorporated organization that signs an agreement with IRCC to sponsor refugees abroad.
      A SAH can authorize other groups in the community to sponsor refugees under its agreement. These groups are known as “constituent groups.”
    "
"S","Sponsorship requirements","Requirements a person must meet to sponsor a family member to come to Canada as a permanent resident."
"S","Spouse","A legal marriage partner. This term includes both opposite- and same-sex relationships but does not include common-law partnerships."
"S","Start-up visa","Through this program, permanent residence is given to a person or group of persons who a received a commitment from a [designated venture capital fund, angel investor group or business incubator](https://www.canada.ca/en/immigration-refugees-citizenship/services/immigrate-canada/start-visa/eligibility/designated-organizations.html) and who intend to operate a new business in Canada."
"S","Study permit","
      A document issued by IRCC that authorizes a foreign national to study at an educational institution in Canada for the duration of the program of study. It sets out conditions for the student such as:
      
        whether their travel within Canada is restricted and
        when they have to leave.
      
    "
"S","Support services","Services that help newcomers to fully participate in IRCC-funded settlement programs. Support services can include onsite child care, transportation support, translation and interpretation services, support for disabilities and short-term crisis counselling."
"S","Surname","
      Your surname is your family name. When filling out applications, type your surname as it appears on your passport, travel or identity document or any letters you got from the visa office or case processing centre where you sent your application (even if the name is misspelled). Do not use initials.
      If you do not have a surname on your passport, travel or identity document, enter all your given name(s) in the surname field and leave the given name field blank.
    ""letter","key","content"
"T","Taxation year","
      Taxation years are the same as calendar years (January 1 to December 31). To be eligible for an adult grant of citizenship, you must have met your personal income tax filing obligations in 3 taxation years that are fully or partially within the 5 years immediately before the date you apply.
      Example:
      You apply for an adult grant of citizenship on June 1, 2019. The taxation years that fall fully or partially within the 5 years immediately before the date of application are 2018, 2017, 2016, 2015 and 2014. 2019 cannot be used, as you would not yet have filed taxes for 2019.
    "
"T","Temporary Foreign Worker Program","
      This program allows employers to hire foreign workers to fill short-term labour and skill shortages when no Canadians are available to do the job. A Labour Market Impact Assessment is needed to hire through this program.
      Foreign workers hired as part of this program are referred to as temporary foreign workers. They may get a work permit only after a Labour Market Impact Assessment has concluded that no Canadians are available to do the job.
      See [Labour Market Impact Assessment (LMIA)](#labour_market_impact_assessment).
    "
"T","Temporary resident
      Related terms:
        Visitor 
        Tourist
    ","A foreign national who is in Canada legally for a short period. Temporary residents include students, foreign workers and visitors, such as tourists.
      See [temporary resident visa](#temporary_resident_visa).
    "
"T","Temporary resident documents","
      Documents issued to allow a person to visit, work in or study in Canada for a specific period. Temporary resident documents have an expiry date.
      Examples of temporary resident documents are study permits, work permits and visitor records.
    "
"T","Temporary resident permit","A permit that may be granted in exceptional circumstances to a person who does not meet the requirements of Canada’s immigration law to enter or remain temporarily in Canada."
"T","Temporary resident visa
      Related term:
        Tourist visa
    ","
      An official counterfoil document issued by a visa office abroad that is placed in a person’s passport to show that he or she has met the requirements for admission to Canada as a temporary resident (a visitor, student or worker). A counterfoil is a specially designed sticker on which missions abroad print visa information.
      Informally known as a visitor or tourist visa, the TRV may be issued for single or multiple entries to Canada.
      See [Multiple-entry visa](#multiple_entry_visa), [Single-entry visa](#single_entry_visa), [Visitor visa](#visitor_visa).
    "
"T","Transit visa","A temporary resident visa issued to people travelling through Canada to another country. There is no fee if the traveller will be in Canada for less than 48 hours. To obtain this visa, travellers must provide proof of their travel plans from their transportation company or travel agent."
"T","Travel document","An identity document issued by a government or an international organization (such as the United Nations). It contains a person’s photograph and personal information, and allows that person to travel between countries.
      See [Passport](#passport).
    "
"T","Tuition","Tuition is the cost or fee for instruction at a private institution (school), university, or college.""letter","key","content"
"U","U.S. passport card","A wallet-sized travel document that U.S. citizens can use to enter the U.S. from Canada, Mexico, the Caribbean or Bermuda at land border crossings or sea ports of entry."
"U","Unemployed","Unemployed means that you do not have a job at this time but that you are actively seeking one."
"U","University","
      A stage of higher education that comes after high school. Universities issue three types of degrees: bachelor’s, master’s and doctorate. People must usually complete high school to qualify for university. In Canada, “[college](#college)” does not refer to a university.
      In Quebec, students attend a CEGEP (college) between high school and university.
    "
"U","Unauthorized Representatives
      Related terms:
        Authorized representative
    ","Individuals who charge a fee or receive some form of compensation (direct or not) and who are not members in good standing of an accredited regulatory body are considered to be unauthorized representatives. "
"U","Urgent Protection Program (UPP)","The Urgent Protection Program (UPP) allows Canada to respond to urgent requests from the United Nations High Commissioner for Refugees (UNHCR) to resettle refugees who face immediate threats to their life, liberty or physical safety.""letter","key","content"
"V","Valid","For a document—legal, not expired, and accepted by IRCC."
"V","Valid job offer","
      A job offer, in writing, for Express Entry candidates. The offer must be
      
        for continuous, paid, full-time work (at least 30 hours a week)
        for work that is not seasonal and for at least one year
        skill type 0, or skill levels A or B of the 2016 [National Occupational Classification (NOC)](#national_occupational_classification).
        supported by an LMIA (unless exempt).
      
    "
"V","Verification of Status Document","
      A document that includes a person’s immigration information such as the date and place that you where you came to Canada.
      It can be used to prove your immigration status. It cannot be used for travel and is not an identity document.
    "
"V","Visa","
      An official counterfoil document issued by a visa office abroad that is placed in a person’s passport to show that he or she has met the requirements for admission to Canada as a temporary resident (a visitor, student or worker). A counterfoil is a specially designed sticker on which missions abroad print visa information.
      Canadian visas include:
      
        temporary resident visas (sometimes called visitor visas) and
        permanent resident visas.
      
      At missions abroad, controlled documents are comprised of counterfoils and seals, which are issued together as a visa. Counterfoils are the documents on which missions print visa information. Seals are documents that are affixed over counterfoils when they are placed in an applicant’s passport to prevent tampering.
    "
"V","Visa application centre","
      Visa application centres (VACs) help you submit temporary residence applications to a visa office for a fee. They can serve you in your preferred language and provide services to areas without easy access to a visa office.
      VACs receive applications, check that they are complete and send them to the correct visa office for processing. They don’t represent the Government of Canada and don’t make decisions on your application.
      They don’t offer advice about the programs you should apply to, how to answer questions on your application or any other immigration topic.
    "
"V","Visa office
      Related terms:
        Mission
        Canadian visa office
    ","
      Visa offices can be located in Canadian embassies, high commissions and consulates. They process applications and provide information about immigrating to Canada.
      The services they provide vary from office to office.
      See [Embassy](#embassy), [High commission](#high_commission), [Consulate](#consulate).
    "
"V","Visa officer","An officer who assesses and makes decisions on temporary and permanent residence applications submitted by foreign nationals.  They can be Canadians sent to the visa office or nationals of the country the visa office is in."
"V","Visiting and exchange students","
      Visiting student: Students at a foreign institution (home institution) who attend a post-secondary Canadian institution (host institution) for a determined period (not a full degree or program) with the intent of transferring the credits earned at the host institution back to their home institution. Visiting students pay fees to the host institution.
      Exchange student: Similar to a visiting student as they attend a host institution in Canada. Exchange students do not pay tuition fees to their host institution as these fees are covered by an exchange agreement between the host and home institutions.
    "
"V","Visitor visa
      Related term:
        Tourist visa
    ","Informal term for a temporary resident visa.
      See [Multiple-entry visa](#multiple_entry_visa), [Single-entry visa](#single_entry_visa), [Temporary resident visa](#temporary_resident_visa).
    "
"V","Vocational training","A preparation for a specific occupation in industry, agriculture or trade. This training generally includes technical, organizational and basic skills training. It may be offered through on-the-job programs, by unions in conjunction with businesses, by community colleges or universities in conjunction with a specific industry, and by private career colleges."
"V","Volunteer","A person who, of his or her own free will, contributes time, resources, energy and/or talent to an organization without being paid.""letter","key","content"
"W","War crime","Examples of a war crime or a crime against humanity could include execution-type murders, destroying people’s property, forcing people out of their homes and/or country, genocide (the killing of a group of people based on their ethnicity, race, religion, cultural backgrounds) and human rights violations."
"W","Widowed","Widowed means that a person’s spouse has died and that person has not remarried or entered into a common-law relationship."
"W","Work permit","
      A document issued by IRCC that authorizes a person to work legally in Canada. It sets out conditions for the worker such as:
      
        the type of work they can do,
        the employer they can work for,
        where they can work, and
        how long they can work.
      
    "
"W","Working holiday visa/Working Holiday Program","See [International Experience Canada](#international_experience_canada).""letter","key","content"
"Y","Years of schooling","Number of years spent in school. Used for statistical purposes, as well as to determine education points in the Federal Skilled Worker selection grid."
