letter,key,content,,
M,"
    ",,,
M,MAb,"
     Monoclonal Antibody)
     
    ",,
M,Machine Welding,"
     Welding with equipment that performs the welding operation under the
    constant observation and control of a welding operator. The equipment may or
    may not perform the loading and unloading of the works.


",,
M,Machine Lines/Process Lines,"
     Surface topography created from machining or honing/polishing lines will
    normally run parallel but bisecting (perpendicular) lines may occur when the
    honing stone mandrel is removed from the work piece.
     
    ",,
M,Macromolecules,"
     Molecules whose molecular weights are greater than about 5,000 Daltons. 
     
    ",,
M,Macroparticle,"
     Particle with an equivalent diameter greater than 5 µm. ISO/FDIS
    14644-1
     
    ",,
M,Macrophage,"
     A phagocytic cell of the immune system found in blood and connective tissue
    and involved in removing debris after injury.
     
    ",,
M,Macrorestriction Map,"
     Map depicting the order of and distance between sites at which restriction
    enzymes cleave chromosomes.
     
    ",,
M,Macroreticular Resin,"
     An ion exchange resin with a reticular porous matrix that makes it
    effective for removing colloids and bacteria from process streams, as well
    as dissolved anions. It is especially useful for preventing colloidal and
    organic fouling of mixed-bed resins and premature clogging of final filters.
     
    ",,
M,Maintainability,"
     Ease with which maintenance can be performed.
     
    ",,
M,Makeup Air,"
     External air introduced to the air handling system for ventilation and
    pressurization.
     
    ",,
M,Manual Welding,"
     Welding in which the entire operation is performed and controlled
    completely by hand.
     
    ",,
M,Manufacture,"
     All operations of receipt of materials, production, packaging, repackaging,
    labelling, relabelling, quality control, release, storage and distribution
    of APIs and the related controls.
     
    ",,
M,Manufacturer,"
     The party responsible for the quality of the drug product.
     
    ",,
M,Manufacturing Process,"
     All manufacturing and storage steps in the creation of the finished product
    from the weighing of components through the storing, packaging, and labeling
    of the finished product, including, but not limited to, the following:
    Mixing, granulating, milling, molding, formulating, lyophilizing, tableting,
    encapsulating, coating, sterilizing, and filling. 
     
    ",,
M,Manufacturing Process (Biotechnology),"
     The basic processes for rDNA fermentation and purification normally include
    the following steps:
    

      1. Inoculum Preparation: The aim is to develop for the production
        stage fermentation a pure inoculum in sufficient volume and in the
        fast-growing (logarithmic) phases so that a high population density is
        obtained. This is accomplished through a seed fermentation train.
      2. The Medium: This is designed to provide the microorganism with all
        the nutrients it requires. Provision is usually made to add nutrients
        during fermentation.
      3. Oxygen Supply: An adequate supply of oxygen is required. As oxygen
        is only slightly soluble in water, a number of methods are used to make
        oxygen more readily available to the microorganisms in the broth,
        including sparging, mechanical agitators, and dispersion baffles in the
        fermenter tank.
      4. Temperature Control: Heat is generated both by the metabolism of
        nutrients and by the power dissipated in stirring and has to be removed
        by controlled cooling. Tank jackets or internal coils are used to
        control temperature.
      5. Antifoam Agents: Microbiological systems that are vigorously
        stirred and aerated usually produce foam. Excessive foam cannot be
        tolerated and so provisions have to be made for adding antifoam agents.
      6. Harvesting: This is the removal of the cells from the broth. This
        can be accomplished by cross-flow filtration or centrifugation.
      7. Cell Lysis: With E. coli fermentations, the product protein is
        contained within the cell in the form of an inclusion body.
        High-pressure homogenizers are often used to chop up the E. coli
        bacteria into fine fragments, liberating the inclusion bodies for
        further processing.
      8. Purification: This is the separation of the desired product from
        the other constituents in the harvested broth. Various processes
        including refolding, ultrafiltration/diafiltration, centrifugation, and
        chromatographic columns are employed to purify the product.
      Mapping
    

    
      ",,
M,Marker,"
       An identifiable physical location on a chromosome (e.g., restriction
      enzyme cutting site, gene) whose inheritance can be monitored. Markers can
      be expressed regions of DNA (genes) or some segment of DNA with no known
      coding function but whose pattern of inheritance can be determined.
       ",,
M,Material,"
       A general term used to denote raw materials (starting materials,
      reagents, process aids, solvents) intermediates, APIs (Active
      Pharmaceutical Ingredients) and packaging and labelling materials.
       ",,
M,Material Containment,"
       The method to incorporate suitable measures into design procedures and
      operational practices for the containment of materials that can harm
      personnel and the workplace environment, and minimize potential for cross
      contamination and housekeeping concerns in the fine chemical, bulk
      pharmaceutical and pharmaceutical industries. Solids and/or liquids are
      normally most hazardous in the form of powders and have been divided into
      the following three categories: 
    

    
      1. Biologically Hazardous additives are compounds that when
        contacting a living cell, will alter, endanger, or damage the cell in
        some shape or form. These should be treated as requiring total
        containment.
      2. Chemically Hazardous additives are compounds that when coming into
        contact with an oxidant, will cause harm to its surroundings due to
        reaction and/or oxidation. These products usually require containment
        and/or blanketing with an inert gas.
      3. General Intermediates are compounds that are neither biologically
        nor chemically hazardous additives but they will cause a housekeeping
        problem. They usually require dusting prevention.
    

    
      ",,
M,Maximum Cr/Fe Ratio,"
       The maximum ratio of chromium to iron and the depth at which it occurs
      are the most direct measures of the chromium enrichment in a material
      oxide layer. Typical ratios are about 1.5 or greater for
      well-electropolished 316L stainless steel. The depth at which the maximum
      Cr/Fe ratio is found varies but is usually about one-half the oxide
      thickness.
       ",,
M,Maximum Depth of Enrichment,"
       In stainless steel the chromium enrichment layer comprises all depths at
      which the chromium concentration is greater than the iron concentration.
      For well electropolished 316L stainless steel, the maximum depth of this
      layer is typically 20 to 25 angstroms (Å). Chromium Enrichment Layer
      Thickness)
       ",,
M,Maximum Working Pressure,"
       The pressure at which the system is capable of operating for a sustained
      period. 
      Maximum Working Temperature The maximum temperature at which the
        system may operate for a sustained period. The maximum working
        temperature should relate to the maximum working pressure and the fluids
        involved.

      ",,
M,Mb,"
        ",,
M,Mean Kinetic Temperature (MKT),"
       The single calculated temperature at which the degradation of an article
      would be equivalent to the actual degradation that results from actual
      temperature fluctuations during the storage period. It is not a simple
      arithmetical mean. The MKT is calculated from average storage temperatures
      recorded over a one-year period, with a minimum of 12 equally spaced
      storage temperatures being recorded.",,
M,"
       ",,,
M,Mechanical Code,"
       Uniform Mechanical Code�?
       ",,
M,Mechanical Completion,"
       The point in a project at which all equipment and materials have been
      installed, but not commissioned (started-up).
       ",,
M,Media (plural of medium),"
       Substances used to provide sterile nutrients to the fermentation or cell
      growth process supporting the growth of the live microorganisms. Media may
      be liquid (broth) or solid, and generally include sucrose or glucose as a
      carbon source, various minerals, a nitrogen source, and selected growth
      factors.
       ",,
M,Media Prep,"
       The act of preparing nutrient media for cell culture or fermentation.  ",,
M,Medical Devices,"
       Any health care product that does not achieve its principal intended
      purposes by chemical action in or on the body or by being metabolized. The
      term ""devices"" also includes components, parts, or accessories
      of medical devices, diagnostic aids such as reagents, antibiotic
      sensitivity disks, and test kits for in vitro diagnosis of diseases and
      other conditions. There are three classes of medical devices: 
    

    
      1. Class I, General Controls (registration of manufacturers,
        recordkeeping and labeling requirements, compliance with GMPs).
      2. Class II, Special Controls (including performance standards,
        posmarket surveillance, and patient registries).
      3. Class III, Premarket Approval (implanted and life supporting or
        life sustaining devices).
    

    
      ",,
M,Medicinal Product,"
       Any substance or combination of substances presented for treating or
      preventing disease in human beings or animals. Any substance or
      combination of substances that may be administered to human beings or
      animals with a view to making a medical diagnosis or to restoring,
      correcting or modifying physiological functions in human beings or in
      animals is likewise considered a medicinal product.
       ",,
M,Medium (filter),"
       The material from which a filter is constructed.
       ",,
M,Megabase (Mb),"
       Unit of length for DNA fragments equal to 1 million nucleotides and
      roughly equal to 1Centimorgan (cM)
       ",,
M,"Megohm-cm/B>
       A measure of ionic purity in water. (also see: Resistivity)
       Meiosis
       The process of two consecutive cell divisions in the diploid progenitors
      of sex cells. Meiosis results in four rather than two daughter cells, each
      with a haploid set of chromosomes.
       Melanoma
       A cancer that begins in skin cells called melanocytes and spreads to
      internal organs.
       Membrane
       A barrier, usually thin, that only permits the passage of particles of a
      certain size or special nature. Filtration membranes are thin polymer
      films that are permeable to water and other fluids: ","

    
    
      1. Microporous membrane filters have measurable pore structures that
        physically remove particles or microorganisms larger than pore size.
      2. Ultrafiltration membranes (sometimes called molecular sieves) also
        remove molecules larger than a specified molecular weight.
      3. Reverse osmosis membranes are permeable to water molecules and
        very little else, rejecting even dissolved ions and endotoxins in water.
    
    

      ",,
M,Meristem,"
       The growing point or area of rapidly dividing cells at the tip of a stem,
      root, or branch. 
      Mesophile An organism that grows best in the temperature range of 20?C
        to 50?C (68?F to 122?F). 

      ",,
M,Messenger RNA (mRNA),"
       RNA that serves as a template for protein synthesis.
       ",,
M,Metabolism,"
       The sum of the physical and chemical changes in living cells by which
      energy is provided for vital processes and growth in cell mass.
       ",,
M,Metabolite,"
       Any of the various organic compounds produced by metabolism.
       ",,
M,Metadata,"
       Electronic records that include processing parameters and audit trail
      logs. Metadata allows reviewers to replay the original result, or
      reconstruct a final report from raw data. In chromatography, metadata
      include integration parameters and calibration tables. An example of
      metadata can be in long division ""1,000 ÷ 5"" would be the
      raw data, the work you had to show on your paper in fourth grade math
      class would be the metadata, and ""200"" would be your result.  ",,
M,Metaphase,"
       A stage in mitosis or meiosis during which the chromosomes are aligned
      along the equatorial plane of the cell.
       ",,
M,Metastases,"
       The plural of metastasis.
       ",,
M,Metastasis,"
       In cancer, it is the appearance of neoplasms in parts of the body remote
      from the seat of the primary tumor. It also applies to the transportation
      of bacteria from one part of the body to another through the blood streams
      (hematogenous metastasis) or through lymph channels (lymphogenous
      metastasis).
       ",,
M,Methods Validation,"
       Establishing, through documented evidence, a high degree of assurance
      that an analytical method will consistently yield results that accurately
      reflect the quality characteristics of the product tested.
       ",,
M,Methyl Cellulose,"
       A common viscosity-increasing agent used in ophthalmics (also see:
      Ophthalmic) preparations. It is inversely soluble with temperature.
       ",,
M,Mho,"
       Unit of measurement for conductance; the reciprocal of ohm (resistance).  ",,
M,Microbe,"
       A microscopic one-celled organism, animal or vegetable, a microorganism.  ",,
M,Microbiology,"
       The study of microscopic life such as bacteria and viruses.
       ",,
M,Microencapsulated,"
       Surrounded by a thin, protective layer of biodegradable substance
      referred to as microsphere.
       ",,
M,Microinch,"
       A unit of length equal to one millionth of an inch (0.000001 inches).  ",,
M,Micron or Micrometer,"
       A unit of length equal to one millionth of a meter (µm) or
      thousandth of a millimeter (25µm are approximately 0.001 inch.).
      Bacteria range in size from 0.5µm to 20µm.
       ",,
M,Microorganism,"
       A microbe - A microscopic plant or animal, such as a bacterium,
      protozoan, yeast, virus, or algae.
       ",,
M,Microhmo,"
       A measure of conductance equal to one millionth of a mho.
       ",,
M,MIG (Metal Inert Gas),"
        ",,
M,Milliequivalent,"
       To simplify the calculation of ion exchange resin capacity, total
      dissolved ion concentrations are usually converted into equivalent
      concentrations of calcium carbonate, the most common source of dissolved
      ions in water. Resin capacity is normally given in ppm as CaCO3, or in
      grains per gallon as CaCO3 (7,000 grains = 1 pound). However, it may also
      be given as milliequivalents per liter (meq/L). Since calcium carbonate
      has a molecular weight of 100 and an equivalent weight of 50 (because
      calcium has a valence of two) ppm as CaCO3 can be converted to meq/L by
      dividing by 50. Thus, 1 ppm of CaCO3 = 0.02 meg/L.  ",,
M,Minienvironment,"
       The actual localized control space limited by a defined enclosure that
      separates or isolates the inside from the outside environment, such that
      the transfer of potential contamination from one side to the other is
      minimized or completely eliminated, depending on the design.
      Minienvironments are not always isolators. ISO 14644-4. (  ",,
M,Mitosis,"
       The process of nuclear division in cells that produces daughter cells
      that are genetically identical to each other and to the parent cell.
       ",,
M,Mixed Airflow Room,"
       Room which is supplied of air by conventional ""turbulent""
      means, such as a diffuser or terminal HEPA filter but also includes an
      unidirectional flow zone (such as a hood over a critical area). Total air
      changes of the room are greatly enhanced by the operation of the hood.  ",,
M,Mixed-Bed Ion Exchange,"
       Mixing both anion and cation resins in the same deionizer results in
      higher efficiency, but lower capacity, than separate-bed deionizers.
       ",,
M,MoAb,"
        ",,
M,Moiety,"
       A part or portion of a molecule, generally complex, having a
      characteristic chemical or pharmacological property.
       ",,
M,Moist Air,"
       A binary mixture of dry air and water vapor. Each component behaves as if
      the other is not present and each occupies the complete volume of the
      mixture. (also see: Dry Air)
       ",,
M,Molds,"
       Filamentous fungi that have a mycelial structure. (also see:
      FungiMycelium
       ",,
M,Mole,"
       One gram molecular weight of a compound.
       ",,
M,Molecule,"
       A group of atoms arranged to interact in a particular way; one molecule
      of any substance is the smallest physical unit of that particular
      substance.  ",,
M,Molecular Genetics,"
       Deals with the study of the nature and biochemistry of genetic material.
      Includes the technologies of genetic engineering.
       ",,
M,Molecular Weight,"
       The weight of a molecule that may be calculated as the sum of the atomic
      weights of its constituent atoms. Atomic weight is the weight of an
      element in relation to some element taken as the standard, usually oxygen
      (16) or carbon (12).
       ",,
M,Monoclonal Antibody (Mab or MoAb),"
       Antibodies derived from a single source or clone of cells that recognize
      only one type of antigen. They are produced from hybridomas formed by the
      hybridization of two cells: a single antibody-producing cell and a cell
      that can be grown indefinitely in culture (also see: Cell Fusion, Clone,
      Hybridoma). Monoclonal antibodies have found markets in diagnostic kits
      and show potential for use in drugs and industrial purification processes.  ",,
M,Monomer,"
       The basic subunit from which, by repetition of a single reaction,
      polymers are made. For example, amino acids (monomers) condense to yield
      polypeptides or proteins (polymers).
       ",,
M,Monosaccharides,"
       The building blocks of carbohydrates, hence known as ""simple sugar"".
      They are classified by the number of carbon atoms in the molecule,
      pentoses have five and hexoses six.
       ",,
M,Mother Liquor,"
       The residual liquid that remains after the crystallization or isolation
      processes. A mother liquor may contain unrecovered products (i.e.,
      unreacted starting materials, intermediates, levels of the API and/or
      impurities). It may be used for further processing.
       ",,
M,mRNA,"
        ",,
M,MSDS (Material Safety Data Sheet),"
       Document describing the chemical and physical properties of a substance
      as related to its safe handling and storage. The substance manufacturer
      originates it.
       ",,
M,Multicellular,"
       Referring to organisms composed of more than one cell - often billions of
      them, arranged in various organs, tissues, and systems.
       ",,
M,Multifactorial or Multigenic Disorder,"
        ",,
M,Multiplexing,"
       A sequencing approach that uses several pooled samples simultaneously,
      greatly increasing sequencing speed.
       ",,
M,Multi-use Equipment,"
       Equipment used to process more than one product.
       ",,
M,Murine,"
       Relating to a member of the rodent family Muridae, including rats and
      mice; such as murine monoclonal antibodies derived from mice.
       ",,
M,Mutagen,"
       An agent that induces cellular DNA to undergo mutation (e.g. X-rays,
      mustard gas radiation).
       ",,
M,Mutagenesis,"
       The induction of mutation in the genetic material of an organism;
      researchers may use physical or chemical means to cause mutations that
      improve the production of capabilities of organisms.
       ",,
M,Mutant,"
       The altered cell resulting from mutation of the original wild type or any
      subsequent alteration.
       ",,
M,Mutation,"
       An abrupt change of genotype involving either the structure or number of
      complete chromosomes or, more commonly, a change in the structure of a
      single gene so that its function is altered or lost. Certain chemicals
      called mutagens can induce it.  ",,
M,Mycelium,"
       The mat or complex group of protoplasmic units, or the entangled mass of
      tubelike or filamentous structures, i.e., hyphae, that represents the ""body""
      of plant forms classified as Eumycetes (including Phycomycetes,
      Ascomycetes, Deuteromycetes (Fungi Imperfectii), and Basidiomycetes).  ",,
M,Mycobacterium,"
       A genus of the family Mycobacteriaceae containing slender, aerobic,
      usually acid fast, Gram positive, rod-shaped organisms of various forms,
      club shaped, swollen, but seldom branched or with filaments; it includes
      many species which were formerly and are still called bacilli, such as the
      pathogens of tuberculosis and leprosy.
       ",,
M,Mycoplasma,"
       The smallest, free-living organism with a size range from 1.25µm to
      0.5µm. Pleomorphic (many shapes) because of a lack of a cell wall.
      Cannot be quantitatively removed by 0.2µm filtration
       ",,
M,Myeloma,"
       A malignant human plasma cell that can synthesize excessive amounts of
      whole antibody or single immunoglobulin chains.
    
     
    ""letter",key,content
P,"
",,,
P,Packaged Equipment,"
     An assembly of individual pieces or stages of equipment, complete with
    inter-connecting piping and connections for external piping. The assembly
    may be mounted on a skid or other structure prior to delivery.
     
    ",,
P,Packaging,"
     All operations, including filling and labeling, which a bulk product has to
    undergo in order to become a finished product.


 ",,
P,Packaging Material,"
     Any material intended to protect an intermediate or API (Active
    Pharmaceutical Ingredient) during storage and transport.
     
    ",,
P,Pandemic Disease,"
     An epidemic over an especially wide geographic area.
     
    ",,
P,PAR (Proven Acceptable Range),"
     A range for a critical parameter that has been determined to be achievable
    and appropriate for the process or processes with which it is associated. It
    is established by knowledge gained through relevant documentation and actual
    testing. A process should perform consistently and as intended when all
    critical parameters are held within the established PARs.
     
    ",,
P,"Parenteral Drug (LVP, SVP)","
     A parenteral drug is defined as one intended for injection through the skin
    or other external boundary tissue, rather than through the alimentary canal,
    so that active substances they contain are administered, using gravity or
    force, directly into a blood vessel, organ, tissue, or lesion. They are
    infused when administered intravenously (IV), or injected when administered
    intramuscularly (IM), or subcutaneously into the human body. A large volume
    parenteral (LVP) is a unit dose container of greater than 100ml that is
    terminally sterilized by heat. Small volume parenteral (SVP) is a ""catch-all""
    for all non-LVP parenterals products except biologicals.
     
    ",,
P,Particle,"
     Solid or liquid object which for purposes of classification of air
    cleanliness, falls within a cumulative distribution that is based upon a
    threshold (lower limit) size in the range from 0,1 µm to 5 µm. ISO
    14644-1 
     
    ",,
P,Particle Size,"
     The apparent maximum linear dimension of a particle in the plane of
    observation as seen with a microscope or the equivalent diameter of a
    particle detected by automatic instrumentation. The equivalent diameter is
    the diameter of a reference sphere having known properties and producing the
    same response in the sensing instrument as the particle being measured. ISO
    14644-1
     
    ",,
P,Particle Concentration,"
     Number of individual particles per unit volume of air. ISO 14644-1
    
      Particulate Usually a solid particle large enough to be removed by
        filtration. Nonfilterable solids are usually referred to as colloids.

      ",,
P,Parts Per Billion (PPB),"
       (also see: PPB)
       ",,
P,Parts Per Million (PPM),"
       (also see: PPM)
       ",,
P,Passive Immunity,"
       Temporary immunity produced by administration of gamma globulin.  ",,
P,Passivity,"
       The state in which a stainless steel exhibits a very low corrosion rate.
      Also known as passivity, is the loss (or minimizing) of chemical
      reactivity exhibited by certain metals and alloys under special
      environmental conditions.
       ",,
P,Passivation,"
       A final chemical treatment/cleaning process that removes exogenous iron
      or iron compounds from the surface of stainless steel piping and equipment
      by the use of a mild oxidant, such as a nitric acid solution, or by ""in-situ
      electropolishing. The purpose of passivation is to restore and/or enhance
      the spontaneous formation of the chemically inert surface or protective
      passive film.
       ",,
P,Passive Layer,"
       A passive oxidized film that forms naturally on a stainless steel surface
      when exposed to air or similar oxidizing environment thus protecting the
      underlying base metal from corrosion. Welding disturbs the passive layer
      by reducing the chromium and increasing the iron, thus altering the
      chromium/iron ratio (measure of corrosion resistance). Upon completion and
      approval of the weld, the weld surface and adjacent boundary area must be
      brought back to a passive state. Additionally, normal operating conditions
      in typical Water For Injection, reverse osmosis, deionized water, clean
      steam, Clean In Place, and process piping often lead to formation of the
      most prevalent form of self catalyzing corrosion called ""rouge""
      (French for red), which is a colloidal form of rust containing iron oxide,
      chromium and nickel in various forms. This problem is further accentuated
      by high temperature. The rouge layer acts as a passive layer until it
      becomes so thick that it ""sloughs off"" into the process or water
      stream.
       ",,
P,Pasteurization,"
       The heating of milk, wines, fruit juices, etc., for about thirty minutes
      at 68?C (154.4?F) whereby the living bacteria are destroyed, but
      the flavor or bouquet is preserved; the spores are unaffected, but are
      kept from developing by immediately cooling the liquid to 10?C (50?F)
      or lower.  ",,
P,Pathogen,"
       Any microbiological or eukaryotic cell containing sufficient genetic
      information, which upon expression of such information is capable of
      producing disease in healthy people, plants, or animals.
       ",,
P,Pathogenic,"
       Causing or capable of causing disease.
       ",,
P,Pathogenic Organisms,"
       Organisms capable of causing disease, either directly (by infecting) or
      indirectly (by producing a toxin that causes illness).
       ",,
P,PE (Polyethylene),"
       A thermoplastic material that varies from type to type according to the
      particular molecular structure of each type, i.e. its crystallinity,
      molecular weight, and molecular weight distribution. These variations are
      possible through changes in polymerization conditions used during
      manufacturing. Low-density polyethylene (LDPE) has a melt point of 221?F
      (105?C), specific gravity of 0.91 to 0.925 g/cc, increased toughness,
      stress cracking resistance, clarity, flexibility, and elongation. It also
      has reduced creep and mold shrinkage. Polyethylene of higher density such
      as HDPE has better permeation barrier properties, hardness, abrasion
      resistance, chemical resistance, and surface gloss. It is important to
      note that photo or light oxidation will occur when natural PE is exposed
      to UV radiation, usually from the sun.
       ",,
P,Penetrance,"
       A term indicating the likelihood that a given gene will actually result
      in disease.
       ",,
P,Penicillin ,"
       An antibiotic containing a ß-lactam ring that inhibits an enzyme
      responsible for making peptide cross-links in the bacterial cell wall. It
      is obtained from cultures of the molds Penicillium Notatum or Penicillium
      Chrysogenum.
       ",,
P,Penicillium,"
       The genus of mold causing a zone of inhibition in an agar plate of
      bacteria. It is the organism, which produces natural penicillin. 

      Peptide A secondary protein derivative defined as ""a definitely
        characterized combination of two or more amino acids, the carboxyl
        (COOH) group of one being united with the amino (NH2) group of the
        other, with the elimination of a molecule of water"". They form a
        peptide bond.

      ",,
P,Peptide Hormones,"
       A diverse class of hormones that are synthesized and excreted at various
      sites within the body. Examples include: insulin, relaxin, glucagons,
      growth hormone, vasopressin, ACTH (Adrenocorticotropic Hormone),
      endorphins, and encephalins.
       ",,
P,Percent Recovery,"
       In reverse osmosis or ultrafiltration, the ratio of pure water output to
      feedwater input.
       ",,
P,Percent Rejection,"
       In reverse osmosis or ultrafiltration, the ratio of impurities removed to
      total impurities in the incoming feedwater. For example, RO membranes
      typically remove (reject) 90% of the dissolved inorganic contaminants in
      water.
       ",,
P,Peristaltic Pump,"
       A type of positive displacement pump that operates by pulsations of flow
      caused by passing rollers over flexible tubing. Operating pressure limited
      by tubing tolerance.
       ",,
P,Permeability ,"
       he ability of a body to pass a fluid under pressure. 
      Permeate In reverse osmosis, the water that diffuses through the
        membrane, thereby becoming purified water.

      ",,
P,Permissible Exposure Limit (PEL),"
       The maximum permitted eight-hour time-weighted average concentration of
      an airborne contaminant. For Permissible Exposure Limits see CFR 29 -
      1910.1000.
       ",,
P,Permissions or Privileges,"
       Security codes that define or restrict which users can read, write, and
      execute the associated files, directories, or programs. Some departments
      need to look only at data, some need to input data or run programs, and
      others may not need to look at the data at all.
       ",,
P,Peroxisome,"
       Very small membrane-bound particles responsible for photorespiration in
      plants. Similar to lysosome in structure, but not in function.
       ",,
P,Petrolatum,"
       White petrolatum is a purified mixture of semi-solid hydrocarbons
      obtained from petroleum. It is a common base or carrier for ointments. It
      can be sterile filtered at elevated temperatures.
       ",,
P,pH,"
       The pH value of an aqueous solution is a number describing its acidity or
      alkalinity. A pH is the negative logarithm (base 10) of the concentration
      of hydrogen ions (equivalent per liter). The pH value of a neutral
      solution is 7. An acidic solution has a pH less than 7, while a basic
      solution has a pH greater than 7, up to 14.
       ",,
P,Phage,"
       A virus for which the natural host is a bacterial cell. (also see:
      Bacteriophage) 

      Phagocyte A cell that engulfs foreign particles from its surroundings
        by a process called phagocytosis. The cell releases hydrolytic enzymes
        from intracellular bodies called lysosomes that partially digest the
        foreign particle, after which it is further degraded in the phagocyte
        cytoplasm.

      ",,
P,Pharmaceutical,"
       A medicinal drug, or relating to or engaged in pharmacy or the
      manufacture and sale of pharmaceuticals. A pharmaceutical product is
      generally one that is made up using available chemical compounds.
       ",,
P,Pharmaceutical Area,"
       A general manufacturing area classification designated by the need for a
      change of clothing (e.g., Packing Hall). See ISPE? Sterile Baseline
      Guide.
       ",,
P,Phenol,"
       An organic acid often used as a disinfectant. Proper strength for a
      bacteriocidal preparation is 5%. Sometimes dispersed as an aerosol ""fog""
      in manufacturing rooms.
       ",,
P,Physical Hazard,"
       A classification of a chemical for which there is scientifically valid
      evidence that it is a combustible liquid, compressed gas, cryogenic,
      explosive, flammable gas, flammable liquid, flammable solid, organic
      peroxide, oxidizer, pyrophoric, unstable, (reactive), or water-reactive
      material.
       ",,
P,Photoautotrophs,"
       Facultative autotrophs that obtain their energy from light.
       ",,
P,Photoluminescent,"
       The property of emitting light as the result of absorption of visible or
      invisible light, which continues for a length of time after excitation.  ",,
P,Photo Oxidation,"
       The mechanism by which ultraviolet light reduces Total Organic Carbon
      (TOC) to Carbon Dioxide. If halogenated organics are present, both CO2 and
      mineral acids can be formed. 
      Phycomycetes Algalike fungi that do not posses chlorophyll and cannot
        photosynthesize. Aquatic and terrestrial molds belong to this category.

      ",,
P,Physical Barrier,"
       Any equipment, facilities, or devices (e.g., fermentors, factories,
      filters, thermal oxidizers) that are designed to achieve containment.  ",,
P,Physical Manipulation,"
       A process other than a chemical reaction that may change the purity of
      the physical properties of the material, including but not limited to,
      crystallization, recrystallization, gel filtration, chromatography,
      milling, drying, or blending.
       ",,
P,Physical Map,"
       A map of the locations of identifiable landmarks on DNA (e.g.,
      restriction enzyme cutting sites, genes), regardless of inheritance.
      Distance is measured in base pairs. For the human genome, the
      lowest-resolution physical map is the banding patterns on the 24 different
      chromosomes; the highest resolution map would be the complete nucleotide
      sequence of the chromosomes.
       ",,
P,Pickle,"
       An acid or other chemical solution used as a bath to remove scale and
      oxides fro the surface of metals before plating or finishing.
       ",,
P,Pipe,"
       A pressure-tight cylinder used to convey a fluid or to transmit a fluid
      pressure ordinarily designated ""pipe"" in applicable material
      specifications. Materials designated ""tube"" or ""tubing""
      in the specifications are treated as pipe when intended for pressure
      service. Types of pipe, according to the method of manufacture, are: 1.
      Electric resistance-welded pipe (ERW) 2. Furnace butt welded pipe,
      continuous welded 3. Electric-fusion welded pipe 4. Double submerged-arc
      welded pipe 5. Seamless pipe 6. Spiral welded pipe
       ",,
P,Pipe Size,"
       Pipe size is determined by diameter and schedule. For bioprocessing
      equipment, pipe does not include tube.
       ",,
P,Pit,"
       A small surface void resulting from a localized loss of base metal by
      corrosion or etching, or by the removal of surface inclusions during
      electropolishing or passivation. A pit may or may not be detectable during
      liquid penetrant inspection.
       ",,
P,Pitch,"
       To cause to be set at a particular angle or slope. Degree of slope or
      elevation.
       ",,
P,Placebo,"
       An inert or innocuous substance used in controlled experiments testing
      the efficacy of another substance.
       ",,
P,Plankton,"
       Those microorganisms that are passively floating or drifting in a body of
      water. 

      Plaque A clear zone in a bacterial culture grown on an agar plate
        caused by localized destruction of bacterial cells by a bacteriophage.
        Applying the fluid to a culture and counting the number of plaques
        formed can estimate the concentration of infective virus in a fluid.

      ",,
P,Plasma,"
       The liquid portion of blood in which the cellular elements are suspended.
      As a fresh liquid obtained by centrifugation, plasma is a clear,
      amber-colored solution containing eight to nine percent solids; of these,
      85 percent are proteins while the other components are the lipids, which
      include the neutral fats, fatty acids, lecithin, and cholesterol. Also
      present are sodium, chloride and bicarbonate, potassium, calcium and
      magnesium. A most essential function of plasma is the maintenance of blood
      pressure and the exchange with tissue of nutrients for waste. Contains
      fibrinogen.
       ",,
P,Plasma Cell,"
       A cell derived from a B-lymphocyte and solely responsible for the
      production of antibodies. Each plasma cell forms only one type of antibody
      and is characterized by an eccentric nucleus, a prominent Golgi zone,
      bulky basophilic cytoplasm (due to an extensive endoplasmic reticulum) and
      large numbers of mitochondria.
       ",,
P,Plasma Membrane,"
       The physical barrier that surrounds the cytoplasm of all cells. It is
      composed of lipid, protein, and carbohydrate and is semi-permeable.
       ",,
P,Plasma Proteins,"
       The proteins found in plasma, usually divided into albumin, globulin and
      fibrinogen fractions. 
      Plasma Protein Fraction (PPF)
      ",,
P,Plasmid,"
       Self-replicating, extrachromosomal circular DNA molecules, distinct from
      the normal bacterial genome and nonessential for the cell survival under
      nonselective conditions. Some plasmids are capable of integrating into the
      host genome. A number of artificially constructed plasmids are used as
      cloning vectors.
       ",,
