 Name , Year ,SMILES,MW,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,TPSA,XLOGP3
 LORACARBEF ,1991,N[C@@H](C(N[C@@H]([C@@H](CC1)N2C(C([O-])=O)=C1Cl)C2=O)=O)c1ccccc1,348.76,0.31,5,5,2,115.56,-1.72
 NABUMETONE ,1991,CC(CCc(ccc1c2)cc1ccc2OC)=O,228.29,0.27,4,2,0,26.3,3.08
 ONDANSETRON ,1991,Cc1nccn1CC(CCc1c2c(cccc3)c3n1C)C2=O,413.17,0.13,3,8,2,150.66,3.42
 PAMIDRONATE ,1991,NCCC(O)(P([O-])([O-])=O)P([O-])([O-])=O,231.04,1,4,8,2,192.25,-6.9
 PENTOSTATIN ,1991,OC[C@@H]([C@H](C1)O)O[C@@H]1n1c(NC=NC[C@@H]2O)c2nc1,268.27,0.64,2,6,4,112.13,-2.09
 PRAVASTATIN ,1991,CC[C@H](C)C(O[C@@H](C1)[C@H]([C@@H](CC[C@H](C[C@H](CC([O-])=O)O)O)[C@@H](C)C=C2)C2=C[C@H]1O)=O,423.52,0.74,11,7,3,127.12,2.49
 PREDNICARBATE ,1991,CCC(OCC([C@@](CC1)([C@@](C)(C[C@@H]2O)[C@@H]1[C@H](CC1)[C@H]2[C@@](C)(C=C2)C1=CC2=O)OC(OCC)=O)=O)=O,488.57,0.7,9,8,1,116.2,4.22
 QUINAPRIL ,1991,CCOC([C@H](CCc1ccccc1)N[C@@H](C)C(N(Cc1c(C2)cccc1)[C@@H]2C([O-])=O)=O)=O,437.51,0.4,11,6,1,98.77,1.24
 RAMIPRIL ,1991,CCOC([C@H](CCc1ccccc1)N[C@@H](C)C(N([C@@H](CCC1)[C@@H]1C1)[C@@H]1C([O-])=O)=O)=O,415.5,0.61,11,6,1,98.77,1.43
 SERTRALINE ,1991,CN[C@@H](CC[C@H]1c(cc2)cc(Cl)c2Cl)c2c1cccc2,306.23,0.29,2,1,1,12.03,4.78
 SIMVASTATIN ,1991,CCC(C)(C)C(O[C@@H]1[C@H]([C@@H](CC[C@H](C[C@H](C2)O)OC2=O)[C@@H](C)C=C2)C2=C[C@H](C)C1)=O,418.57,0.76,7,5,1,72.83,4.68
 SUCCIMER ,1991,[O-]C([C@@H]([C@@H](C([O-])=O)S)S)=O,180.2,0.5,3,4,0,157.86,0.06
 TICLOPIDINE ,1991,Clc1c(CN(CC2)Cc3c2scc3)cccc1,263.79,0.29,2,1,0,31.48,3.63
 AMLODIPINE ,1992,CCOC(C(C1c(cccc2)c2Cl)=C(COCCN)NC(C)=C1C(OC)=O)=O,408.88,0.4,10,6,2,99.88,3
 ATOVAQUONE ,1992,OC(c(cccc1)c1C1=O)=C([C@H](CC2)CC[C@@H]2c(cc2)ccc2Cl)C1=O,366.84,0.27,2,3,1,54.37,5.23
 BISOPROLOL ,1992,CC(C)NCC(COc1ccc(COCCOC(C)C)cc1)O,325.44,0.67,12,5,2,59.95,1.87
 CEFPODOXIME PROXETIL ,1992,CC(C)OC(O[C@@H](C)OC(C1=C(COC)CS[C@@H]([C@H]2NC(/C(/c3csc(N)n3)=N\OC)=O)N1C2=O)=O)=O,557.6,0.52,14,11,2,234.51,0.55
 DESFLURANE ,1992,FC(C(F)(F)F)OC(F)F,168.04,1,3,7,0,9.23,2.65
 DESOGESTREL ,1992,CC[C@](C1)([C@@H](CC2)[C@H](CCC3=CCCC[C@H]33)[C@@H]3C1=C)[C@@]2(C#C)O,310.47,0.73,1,1,1,20.23,4.73
 FINASTERIDE ,1992,CC(C)(C)NC([C@H](CC1)[C@](C)(CC2)[C@H]1[C@@H](CC[C@@H]1N3)[C@@H]2[C@]1(C)C=CC3=O)=O,372.54,0.83,3,2,2,58.2,3.03
 HALOFANTRINE ,1992,CCCCN(CCCC)CCC(c1c(ccc(C(F)(F)F)c2)c2c(cc(cc2Cl)Cl)c2c1)O,500.42,0.46,11,5,1,23.47,8.61
 ITRACONAZOLE ,1992,CC[C@@H](C)N(C1=O)N=CN1c(cc1)ccc1N(CC1)CCN1c(cc1)ccc1OC[C@@H]1O[C@@](Cn2ncnc2)(c(ccc(Cl)c2)c2Cl)OC1,705.63,0.37,11,7,0,104.7,5.66
 LEVAMLODIPINE ,1992,CCOC(C(C1c(cccc2)c2Cl)=C(COCCN)NC(C)=C1C(OC)=O)=O,204.29,0.36,1,1,0,40.9,1.84
 LOMEFLOXACIN ,1992,CCN(C=C1C([O-])=O)c(c(F)c(c(F)c2)N3CC(C)NCC3)c2C1=O,350.34,0.41,3,6,1,77.4,-0.8
 MASOPROCOL ,1992,C[C@H](Cc(cc1)cc(O)c1O)[C@@H](C)Cc(cc1)cc(O)c1O,302.36,0.33,5,4,4,80.92,4.31
 MIVACURIUM ,1992,C[N@+](CCCOC(CC/C=C/CCC(OCCC[N@@+](C)(CC1)[C@@H](Cc(cc2OC)cc(OC)c2OC)c(cc2OC)c1cc2OC)=O)=O)(CC1)[C@@H](Cc(cc2OC)cc(OC)c2OC)c(cc2OC)c1cc2OC,1029.26,0.52,30,14,0,144.9,8.68
 NEDOCROMIL ,1992,CCCc(c(OC(C([O-])=O)=C1)c(cc23)C1=O)c2N(CC)C(C([O-])=O)=CC3=O,369.32,0.26,5,7,0,132.47,2.22
 OCTINOXATE ,1992,CCCCC(CC)COC(/C=C/c(cc1)ccc1OC)=O,1019.24,0.45,19,12,13,382.82,0.96
 OXAPROZIN ,1992,[O-]C(CCc1nc(-c2ccccc2)c(-c2ccccc2)o1)=O,292.31,0.11,5,4,0,66.16,4.19
 PACLITAXEL ,1992,CC(C)([C@](C1)([C@@H]([C@@H]([C@@]2([C@H](C[C@H]3O)OC2)OC(C)=O)[C@@]3(C)C([C@H]2OC(C)=O)=O)OC(c3ccccc3)=O)O)C2=C(C)[C@@H]1OC([C@H]([C@@H](c1ccccc1)NC(c1ccccc1)=O)O)=O,853.91,0.45,15,14,4,221.29,3.66
 PAROXETINE ,1992,Fc1ccc([C@@H]2[C@@H](COc(cc3)cc4c3OCO4)CNCC2)cc1,329.37,0.37,4,5,1,39.72,3.51
 RIFABUTIN ,1992,CC(C)CN(CC1)CCC1(NC1=C2NC(/C(/C)=C\C=C\[C@@H](C)[C@H]([C@H](C)[C@@H]([C@H](C)[C@H]([C@@H](C)[C@@H](/C=C/O[C@@](C)(C3=O)O4)OC)OC(C)=O)O)O)=O)N=C1c1c3c4c(C)c(O)c1C2=O,847,0.59,5,13,5,205.55,-2.56
 SOTALOL ,1992,CC(C)NCC(c(cc1)ccc1NS(C)(=O)=O)O,272.36,0.5,6,4,3,86.81,0.24
 SUMATRIPTAN ,1992,CNS(Cc(cc1)cc2c1[nH]cc2CCN(C)C)(=O)=O,295.4,0.43,6,4,2,73.58,1.11
 TENIPOSIDE ,1992,COc1cc([C@H]([C@@H]([C@@H](CO2)[C@H]3O[C@H]([C@H]([C@@H]4O)O)O[C@@H]5[C@@H]4O[C@@H](c4cccs4)OC5)C2=O)c2c3cc3OCOc3c2)cc(OC)c1O,656.65,0.47,6,13,3,189.07,1.24
 TERBINAFINE ,1992,CC(C)(C)C#C/C=C/CN(C)Cc1cccc2ccccc12,291.43,0.33,4,1,0,3.24,5.59
 ZALCITABINE ,1992,NC(C=CN1[C@H]2O[C@@H](CO)CC2)=NC1=O,211.22,0.56,2,4,2,90.37,-1.3
 ZOLPIDEM ,1992,Cc(cc1)ccc1-c1c(CC(N(C)C)=O)n(cc(C)cc2)c2n1,307.39,0.26,4,2,0,37.61,3.59
 CALCIPOTRIENE ,1993,C[C@H]([C@H](CC1)[C@](C)(CCC2)[C@H]1/C2=C/C=C(/C[C@@H](C[C@H]1O)O)\C1=C)/C=C/[C@@H](C1CC1)O,412.6,0.7,5,3,3,60.69,-0.07
 CEFONICID ,1993,[O-]C(C1=C(CSc2nnnn2CS(O)(=O)=O)CS[C@@H]([C@H]2NC([C@H](c3ccccc3)O)=O)N1C2=O)=O,541.56,0.33,10,11,3,266.72,-0.58
 CISAPRIDE ,1993,CO[C@@H](CN(CCCOc(cc1)ccc1F)CC1)[C@H]1NC(c(c(OC)c1)cc(Cl)c1N)=O,330.33,0.41,3,5,1,77.4,-1.08
 CLADRIBINE ,1993,Nc1c2ncn([C@H](C3)O[C@@H](CO)[C@@H]3O)c2nc(Cl)n1,324.39,0.35,5,4,0,36.26,3.23
 FELBAMATE ,1993,NC(OCC(COC(N)=O)c1ccccc1)=O,238.24,0.27,7,4,2,104.64,0.61
 FENOFIBRATE ,1993,CC(C)OC(C(C)(C)Oc(cc1)ccc1C(c(cc1)ccc1Cl)=O)=O,360.83,0.3,7,4,0,52.6,5.17
 FLUVASTATIN ,1993,CC(C)n1c(cccc2)c2c(-c(cc2)ccc2F)c1/C=C/[C@H](C[C@H](CC([O-])=O)O)O,410.46,0.29,8,5,2,85.52,3.49
 GABAPENTIN ,1993,NCC1(CC([O-])=O)CCCCC1,170.23,0.89,3,3,1,66.15,-1.1
 GRANISETRON ,1993,Cn1nc(C(N[C@@H]2C[C@H](CCC3)N(C)[C@H]3C2)=O)c2c1cccc2,312.41,0.56,3,3,1,50.16,2.75
 LEVOCABASTINE ,1993,C[C@H](CN(CC1)[C@H](CC2)CC[C@@]2(c(cc2)ccc2F)C#N)[C@@]1(C([O-])=O)c1ccccc1,288.43,0.61,6,2,1,32.34,3.41
 LEVOMETHADYL ACETATE ,1993,CC[C@@H](C(C[C@H](C)N(C)C)(c1ccccc1)c1ccccc1)OC(C)=O,328.47,0.37,5,2,0,41.01,4.68
 LODOXAMIDE ,1993,N#Cc(cc1NC(C([O-])=O)=O)cc(NC(C([O-])=O)=O)c1Cl,309.62,0,6,7,2,162.25,0.54
 LORATADINE ,1993,CCOC(N(CC1)CCC1=C(c(cc1)c(CC2)cc1Cl)c1c2cccn1)=O,382.88,0.36,3,3,0,42.43,5.2
 PANTOTHENIC ACID ,1993,CC(C)(CO)C(C(NCCC([O-])=O)=O)O,218.23,0.78,7,5,3,109.69,-1.08
 PERINDOPRIL ,1993,CCC[C@@H](C(OCC)=O)N[C@@H](C)C(N([C@@H](C1)C([O-])=O)[C@@H]2[C@H]1CCCC2)=O,367.46,0.84,10,6,1,98.77,0.91
 RIMANTADINE ,1993,CC(C1(C[C@H](C2)C3)C[C@H]3C[C@H]2C1)N,179.3,1,1,1,1,26.02,2.62
 RISPERIDONE ,1993,CC(N=C1N2CCCC1)=C(CCN(CC1)CCC1c1noc3c1ccc(F)c3)C2=O,410.48,0.52,4,6,0,64.16,2.72
 TACRINE ,1993,Nc1c(CCCC2)c2nc2ccccc12,198.26,0.31,0,1,1,38.91,2.71
 TAZOBACTAM ,1993,C[C@](Cn1nncc1)([C@H](C([O-])=O)N([C@H]1C2)C2=O)S1(=O)=O,299.28,0.6,3,7,0,133.67,-1.98
 TORSEMIDE ,1993,CC(C)NC(NS(c(cncc1)c1Nc1cc(C)ccc1)(=O)=O)=O,348.42,0.25,7,4,3,108.57,2.68
 TRIMETREXATE ,1993,Cc1c(CNc(cc2OC)cc(OC)c2OC)ccc2nc(N)nc(N)c12,369.42,0.26,6,5,3,117.54,2.55
 VENLAFAXINE ,1993,CN(C)CC(C1(CCCCC1)O)c(cc1)ccc1OC,277.4,0.65,5,3,1,32.7,-0.92
 ACRIVASTINE ,1994,Cc(cc1)ccc1/C(/c1cccc(/C=C/C([O-])=O)n1)=C\CN1CCCC1,347.43,0.27,6,4,0,56.26,1.63
 BUDESONIDE ,1994,CCC[C@H](O[C@@H]1C[C@@H]([C@H](CC2)[C@H]3[C@@](C)(C=C4)C2=CC4=O)[C@]2(C)C[C@@H]3O)O[C@@]12C(CO)=O,430.53,0.76,4,6,2,93.06,2.55
 CEFAMANDOLE ,1994,Cn1nnnc1SCC(CS[C@H]1[C@H]2NC([C@H](c3ccccc3)O)=O)=C(C([O-])=O)N1C2=O,461.49,0.33,8,8,2,203.97,0.5
 CYSTEAMINE ,1994,NCCS,77.15,1,1,1,1,64.82,-0.43
 DORZOLAMIDE ,1994,CCN[C@@H](C[C@@H]1C)c(cc(s2)S(N)(=O)=O)c2S1(=O)=O,324.44,0.6,3,6,2,151.33,0.41
 FAMCICLOVIR ,1994,CC(OCC(CCn1c2nc(N)ncc2nc1)COC(C)=O)=O,321.33,0.5,9,7,1,122.22,-0.06
 FLUVOXAMINE ,1994,COCCCC/C(/c1ccc(C(F)(F)F)cc1)=N\OCCN,318.33,0.53,10,7,1,56.84,2.63
 LAMOTRIGINE ,1994,Nc1nc(N)nnc1-c1cccc(Cl)c1Cl,256.09,0,1,3,2,90.71,1.42
 NEFAZODONE ,1994,CCC(N1CCOc2ccccc2)=NN(CCCN(CC2)CCN2c2cccc(Cl)c2)C1=O,470.01,0.44,10,4,0,55.53,4.31
 PHENIRAMINE ,1994,CN(C)CCC(c1ccccc1)c1ncccc1,240.34,0.31,5,2,0,16.13,2.76
 RIMEXOLONE ,1994,CCC([C@@](C)([C@H](C)C1)[C@@](C)(C[C@@H]2O)[C@@H]1[C@H](CC1)[C@H]2[C@@](C)(C=C2)C1=CC2=O)=O,370.52,0.75,2,3,1,54.37,3.45
 ROCURONIUM ,1994,C[C@](CC1)([C@@H](C[C@@H]2[N+]3(CC=C)CCCC3)[C@H](CC3)[C@H]1[C@@](C)(C[C@@H]1N4CCOCC4)[C@@H]3C[C@@H]1O)[C@H]2OC(C)=O,529.77,0.91,6,5,1,59,5.03
 SALMETEROL ,1994,OCc(cc(C(CNCCCCCCOCCCCc1ccccc1)O)cc1)c1O,415.57,0.52,16,5,4,81.95,3.9
 STAVUDINE ,1994,CC(C(N1)=O)=CN([C@H]2O[C@@H](CO)C=C2)C1=O,224.21,0.4,2,4,2,84.32,-0.81
 TACROLIMUS ,1994,C[C@@H](C[C@H]1OC)[C@](C(C(N(CCCC2)[C@H]2C(O[C@H]([C@@H](C)[C@@H](CC([C@@H](CC=C)/C=C(\C)/C[C@@H](C)C2)=O)O)/C(/C)=C/[C@@H](CC[C@@H]3O)C[C@@H]3OC)=O)=O)=O)(O)O[C@H]1[C@@H]2OC,804.02,0.77,7,12,3,178.36,4.68
 VINORELBINE ,1994,CC[C@]1([C@@H]([C@]([C@H]2N(C)c3c4)(C(OC)=O)O)OC(C)=O)C=CCN(CC5)[C@H]1[C@]25c3cc([C@@](C[C@@H](C1)C=C(CC)CN1C1)(C(OC)=O)c2c1c(cccc1)c1[nH]2)c4OC,778.93,0.53,10,10,2,133.87,3.77
 ACARBOSE ,1995,C[C@H]([C@H]([C@@H]([C@H]1O)O)N[C@H]([C@@H]([C@H]2O)O)C=C(CO)[C@H]2O)O[C@@H]1O[C@H]([C@@H](CO)O[C@@H]([C@@H]1O)O[C@H]([C@@H](CO)O[C@@H]([C@@H]2O)O)[C@@H]2O)[C@@H]1O,645.6,0.92,9,19,14,321.17,-8.53
 ALENDRONATE ,1995,NCCCC(O)(P([O-])([O-])=O)P([O-])([O-])=O,245.06,1,5,8,2,192.25,-6.54
 AMIFOSTINE ,1995,NCCCNCCSP([O-])([O-])=O,212.21,1,7,5,2,136.35,-4.45
 ANASTROZOLE ,1995,CC(C)(c1cc(Cn2ncnc2)cc(C(C)(C)C#N)c1)C#N,293.37,0.41,4,4,0,78.29,2.03
 AZELAIC ACID ,1995,[O-]C(CCCCCCCC([O-])=O)=O,186.21,0.78,8,4,0,80.26,1.57
 BICALUTAMIDE ,1995,CC(CS(c(cc1)ccc1F)(=O)=O)(C(Nc(cc1)cc(C(F)(F)F)c1C#N)=O)O,430.37,0.22,7,9,2,115.64,2.31
 BUTOCONAZOLE ,1995,Clc1ccc(CCC(Cn2cncc2)Sc(c(Cl)ccc2)c2Cl)cc1,411.78,0.21,7,1,0,43.12,6.42
 CARVEDILOL ,1995,COc(cccc1)c1OCCNCC(COc1c(c(cccc2)c2[nH]2)c2ccc1)O,406.47,0.25,10,5,3,75.74,4.37
 CEFTIBUTEN ,1995,Nc1nc(/C(/C(N[C@H]([C@@H]2SCC=C(C([O-])=O)N22)C2=O)=O)=C/CC([O-])=O)cs1,408.41,0.27,7,7,2,222.12,-0.3
 CETIRIZINE ,1995,[O-]C(COCCN(CC1)CCN1C(c1ccccc1)c(cc1)ccc1Cl)=O,387.88,0.38,8,5,0,55.84,1.7
 DEXRAZOXANE ,1995,CC(CN(CC(N1)=O)CC1=O)N(CC(N1)=O)CC1=O,268.27,0.64,3,6,2,98.82,-1.4
 DIRITHROMYCIN ,1995,CC[C@H]([C@](C)([C@@H]([C@H]1C)O[C@H](COCCOC)N[C@H]1[C@@H](C)C[C@](C)([C@@H]([C@@H](C)[C@H]([C@H]1C)O[C@@H](C[C@@]2(C)OC)O[C@@H](C)[C@@H]2O)O[C@@H]([C@@H]2O)O[C@H](C)C[C@@H]2N(C)C)O)O)OC1=O,835.07,0.98,12,16,5,196.33,3.69
 EPOPROSTENOL ,1995,CCCCC[C@H](/C=C/[C@@H]([C@H](C1)[C@@H](C2)O/C1=C\CCCC([O-])=O)[C@H]2O)O,351.46,0.75,10,5,2,89.82,2.94
 GLIMEPIRIDE ,1995,CCC1=C(C)CN(C(NCCc(cc2)ccc2S(NC(N[C@H]2CC[C@H](C)CC2)=O)(=O)=O)=O)C1=O,490.62,0.54,11,5,3,133.06,3.85
 IBUTILIDE ,1995,CCCCCCCN(CC)CCCC(c(cc1)ccc1NS(C)(=O)=O)O,384.58,0.7,14,4,2,78.02,4.03
 LAMIVUDINE ,1995,NC(C=CN1[C@H]2O[C@@H](CO)SC2)=NC1=O,229.26,0.5,2,4,2,115.67,-0.93
 LANSOPRAZOLE ,1995,Cc(c(CS(c1nc(cccc2)c2[nH]1)=O)ncc1)c1OCC(F)(F)F,369.36,0.25,6,7,1,87.08,3.01
 LEVOCETIRIZINE ,1995,[O-]C(COCCN(CC1)CCN1C(c1ccccc1)c(cc1)ccc1Cl)=O,161.2,0.86,4,3,1,60.36,-0.84
 LOSARTAN ,1995,CCCCc1nc(Cl)c(CO)n1Cc(cc1)ccc1-c(cccc1)c1-c1n[nH]nn1,422.91,0.27,8,5,2,92.51,4.29
 METFORMIN ,1995,CN(C)C(NC(N)=[NH2+])=N,130.17,0.5,3,1,4,90.73,-1.06
 MOEXIPRIL ,1995,CCOC([C@H](CCc1ccccc1)N[C@@H](C)C(N(Cc(cc1OC)c(C2)cc1OC)[C@@H]2C([O-])=O)=O)=O,497.56,0.44,13,8,1,117.23,1.18
 MYCOPHENOLATE MOFETIL ,1995,C/C(/CCC(OCCN1CCOCC1)=O)=C\Cc(c(O)c(c(CO1)c2C)C1=O)c2OC,433.49,0.57,10,8,1,94.53,3.19
 NALMEFENE ,1995,C=C(CC[C@]([C@H](C1)N(CC2CC2)CC2)([C@]22c3c1cc1)O)[C@H]2Oc3c1O,339.43,0.62,2,4,2,52.93,2.33
 NISOLDIPINE ,1995,CC(C)COC(C(C1c(cccc2)c2[N+]([O-])=O)=C(C)NC(C)=C1C(OC)=O)=O,388.41,0.4,8,6,1,110.45,3.26
 RILUZOLE ,1995,Nc1nc(ccc(OC(F)(F)F)c2)c2s1,234.2,0.12,2,5,1,76.38,3.61
 SAQUINAVIR ,1995,CC(C)(C)NC([C@H]1N(C[C@H]([C@H](Cc2ccccc2)NC([C@H](CC(N)=O)NC(c2nc3ccccc3cc2)=O)=O)O)C[C@@H](CCCC2)[C@@H]2C1)=O,670.84,0.5,16,7,5,166.75,4.24
 SEVOFLURANE ,1995,FCOC(C(F)(F)F)C(F)(F)F,200.05,1,4,8,0,9.23,2.81
 TRAMADOL ,1995,CN(C)C[C@H](CCCC1)[C@@]1(c1cccc(OC)c1)O,263.38,0.62,4,3,1,32.7,2.55
 VALACYCLOVIR ,1995,CC(C)C(C(OCCOCn1c(N=C(N)NC2=O)c2nc1)=O)N,324.34,0.54,8,7,3,151.14,-0.61
 ACITRETIN ,1996,C/C(/C=C/c(c(C)c1)c(C)c(C)c1OC)=C\C=C\C(\C)=C\C([O-])=O,325.42,0.29,6,3,0,49.36,6.4
 ADAPALENE ,1996,COc(cc1)c(C2(C[C@H](C3)C4)C[C@H]4C[C@H]3C2)cc1-c1ccc(cc(cc2)C([O-])=O)c2c1,411.51,0.39,4,3,0,49.36,7.7
 ALBENDAZOLE ,1996,CCCSc(cc1)cc2c1nc(NC(OC)=O)[nH]2,265.33,0.33,6,3,2,92.31,2.81
 AMLEXANOX ,1996,CC(C)c(cc1)cc2c1Oc(nc(c(C([O-])=O)c1)N)c1C2=O,297.29,0.19,2,5,1,109.25,3.08
 ATORVASTATIN ,1996,CC(C)c1c(C(Nc2ccccc2)=O)c(-c2ccccc2)c(-c(cc2)ccc2F)n1CC[C@@H](C[C@@H](CC([O-])=O)O)O,557.63,0.27,13,6,3,114.62,4.96
 AZELASTINE ,1996,CN(CCC1)CCC1N1N=C(Cc(cc2)ccc2Cl)c(cccc2)c2C1=O,381.9,0.36,3,3,0,38.13,4.37
 BETAINE ,1996,C[N+](C)(C)CC([O-])=O,117.15,0.8,2,2,0,40.13,-0.13
 BRIMONIDINE ,1996,Brc(c1nccnc1cc1)c1NC1=NCCN1,292.13,0.18,2,3,2,62.2,0.59
 BUTENAFINE ,1996,CC(C)(C)c1ccc(CN(C)Cc2cccc3ccccc23)cc1,317.47,0.3,5,1,0,3.24,6.26
 CABERGOLINE ,1996,CCNC(N(CCCN(C)C)C([C@@H](C1)CN(CC=C)[C@@H](Cc2c[nH]3)[C@@H]1c1c2c3ccc1)=O)=O,451.6,0.54,11,4,2,71.68,3.4
 CEFEPIME ,1996,C[N+]1(CC(CS[C@H]2[C@H]3NC(/C(/c4csc(N)n4)=N\OC)=O)=C(C([O-])=O)N2C3=O)CCCC1,480.56,0.53,8,7,2,203.58,-0.71
 CIDOFOVIR ,1996,NC(C=CN1CC(CO)OCP([O-])([O-])=O)=NC1=O,207.27,0.58,1,2,1,42.23,1.99
 DOCETAXEL ,1996,CC(C)(C)OC(N[C@@H]([C@@H](C(O[C@H](C1)C(C)=C([C@@H](C([C@@](C)([C@@H](C[C@@H]2OC3)O)[C@@H]([C@H]4OC(c5ccccc5)=O)[C@]23OC(C)=O)=O)O)C(C)(C)[C@@]14O)=O)O)c1ccccc1)=O,807.88,0.56,14,14,5,224.45,2.81
 DONEPEZIL ,1996,COc(c(OC)c1)cc(CC2CC3CCN(Cc4ccccc4)CC3)c1C2=O,379.49,0.46,6,4,0,38.77,4.28
 ETOPOSIDE PHOSPHATE ,1996,C[C@@H](OC[C@@H]1O[C@@H]([C@H]2O)O[C@H]([C@H](CO3)[C@H]([C@H]4c(cc5OC)cc(OC)c5OP([O-])([O-])=O)C3=O)c3c4cc4OCOc4c3)O[C@@H]1[C@H]2O,666.52,0.55,7,16,2,222.83,-0.71
 FEXOFENADINE ,1996,CC(C)(C([O-])=O)c1ccc(C(CCCN(CC2)CCC2C(c2ccccc2)(c2ccccc2)O)O)cc1,500.65,0.41,10,5,2,83.83,3.01
 FOSFOMYCIN ,1996,C[C@H]1O[C@H]1P([O-])([O-])=O,136.04,1,1,4,0,85.53,-1.38
 FOSPHENYTOIN ,1996,[O-]P([O-])(OCN(C(C(c1ccccc1)(c1ccccc1)N1)=O)C1=O)=O,360.26,0.12,5,6,1,131.64,0.56
 GEMCITABINE ,1996,NC(C=CN1[C@H](C2(F)F)O[C@@H](CO)[C@@H]2O)=NC1=O,263.2,0.56,2,7,3,110.6,-1.46
 INDINAVIR ,1996,CC(C)(C)NC([C@H]1N(C[C@H](C[C@@H](Cc2ccccc2)C(N[C@H]([C@@H](C2)O)c3c2cccc3)=O)O)CCN(Cc2cnccc2)C1)=O,613.79,0.47,14,7,4,118.03,2.92
 IRINOTECAN ,1996,CCC(C(C=C1N2Cc3c(CC)c4cc(OC(N(CC5)CCC5N5CCCCC5)=O)ccc4nc13)=C(CO1)C2=O)(C1=O)O,586.68,0.52,6,8,1,114.2,3.74
 IVERMECTIN ,1996,CC[C@H](C)[C@H]([C@@H](C)CC1)O[C@]1(C[C@H](C1)OC([C@@H]([C@@]([C@@H]2OC3)(/C3=C\C=C\[C@@H]3C)O)C=C(C)[C@H]2O)=O)O[C@@H]1C/C=C(\C)/[C@H]3O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1O[C@@H](C[C@@H]1OC)O[C@@H](C)[C@@H]1O,875.09,0.81,8,14,3,170.06,-5.25
 LATANOPROST ,1996,CC(C)OC(CCC/C=C\C[C@H]([C@@H](CC[C@H](CCc1ccccc1)O)[C@@H](C1)O)[C@H]1O)=O,432.59,0.65,14,5,3,86.99,4.26
 MEROPENEM ,1996,C[C@H]([C@H]([C@@H]([C@H]1C)N2C(C([O-])=O)=C1S[C@@H](C1)CN[C@@H]1C(N(C)C)=O)C2=O)O,382.45,0.71,6,6,2,138.31,-2.36
 MIDODRINE ,1996,COc(cc1)cc(C(CNC(CN)=O)O)c1OC,254.28,0.42,7,5,3,93.81,-0.58
 MIGLITOL ,1996,OCCN(C[C@H]([C@@H]1O)O)[C@@H](CO)[C@@H]1O,207.22,1,3,6,5,104.39,-2.57
 MIRTAZAPINE ,1996,CN(CC1)CC2N1c1ncccc1Cc1c2cccc1,265.35,0.35,0,2,0,19.37,2.65
 NEVIRAPINE ,1996,Cc1ccnc(N(C2CC2)c2c3cccn2)c1NC3=O,266.3,0.27,1,3,1,63.57,1.96
 NILUTAMIDE ,1996,CC(C)(C(N1c(cc2)cc(C(F)(F)F)c2[N+]([O-])=O)=O)NC1=O,317.22,0.33,3,7,1,95.23,2
 OLANZAPINE ,1996,CC(SC1=Nc(cccc2)c2N2)=CC1=C2N1CCN(C)CC1,434.46,0.33,6,5,1,86.37,1.9
 OLOPATADINE ,1996,CN(C)CC/C=C1\c(cc(CC([O-])=O)cc2)c2OCc2c1cccc2,300.22,0,4,7,2,141.95,2.2
 PENCICLOVIR ,1996,NC(Nc1c2ncn1CCC(CO)CO)=NC2=O,253.26,0.5,5,5,4,130.05,-1.58
 PENTOSAN POLYSULFATE ,1996,O[C@@H](CO[C@@H]([C@H]1OS(O)(=O)=O)O[C@@H](CO[C@@H]([C@H]2OS(O)(=O)=O)O)[C@H]2S(O)(=O)=O)[C@H]1OS(O)(=O)=O,586.5,1,9,20,6,346.84,-5.63
 PHENYLBUTYRATE ,1996,[O-]C(CCCc1ccccc1)=O,163.19,0.3,4,2,0,40.13,2.42
 QUINESTROL ,1996,C[C@](CC1)([C@@H](CC2)[C@H](CC3)[C@H]1c(cc1)c3cc1OC1CCCC1)[C@@]2(C#C)O,364.52,0.68,2,2,1,29.46,5.26
 REMIFENTANIL ,1996,CCC(N(C1(CCN(CCC(OC)=O)CC1)C(OC)=O)c1ccccc1)=O,376.45,0.55,10,6,0,76.15,1.88
 RITONAVIR ,1996,CC(C)[C@@H](C(N[C@H](C[C@@H]([C@H](Cc1ccccc1)NC(OCc1cncs1)=O)O)Cc1ccccc1)=O)NC(N(C)Cc1csc(C(C)C)n1)=O,720.94,0.43,22,7,4,202.26,6.05
 ROPIVACAINE ,1996,CCCN(CCCC1)C1C(Nc1c(C)cccc1C)=O,274.4,0.59,5,2,1,32.34,2.9
 SPARFLOXACIN ,1996,C[C@H](C1)N[C@@H](C)CN1c(c(F)c(c1c2N(C3CC3)C=C(C([O-])=O)C1=O)N)c2F,391.39,0.47,3,6,2,103.42,0.11
 TIZANIDINE ,1996,Clc(ccc1nsnc11)c1NC1=NCCN1,253.71,0.22,2,3,2,90.44,1.11
 TOPIRAMATE ,1996,CC1(C)O[C@@H]2[C@H]3OC(C)(C)O[C@@]3(COS(N)(=O)=O)OC[C@@H]2O1,339.36,1,3,9,1,123.92,-0.83
