id	adverseevents_frequency	adverseevents_frequency_units	adverseevents_liability	adverseevents_severity	adverseevents_type	adverseevents_comment	adverseevents_dlt	tox_id
23339	>=2		Asthenia		discontinuation	leads to discontinuation		3298
23340	>=2		Insomnia		discontinuation	leads to discontinuation		3298
23341	>=2		Somnolence		discontinuation	leads to discontinuation		3298
23342	>=2		Paresthesia		discontinuation	leads to discontinuation		3298
23343	>=2		Attention concentration difficulty		discontinuation	leads to discontinuation		3297
23344	>=2		Fever		discontinuation	leads to discontinuation		3297
23345	>=2		Flushing		discontinuation	leads to discontinuation		3297
23346	>=2		Confusion		discontinuation	leads to discontinuation		3297
23347	1 pts		Coma					3295
23348	40.7		Leukopenia	grade 3				3303
23349	15.9		Leukopenia	grade 4				3303
23350	31		Neutropenia	grade 3				3303
23351	50.4		Neutropenia	grade 4				3303
23352	17.7		Thrombocytopenia	grade 3				3303
23353	22.1		Thrombocytopenia	grade 4				3303
23354	26.5		Anemia	grade 3				3303
23355	2.7		Anemia	grade 4				3303
23356	31.9		Nausea	grade 1				3303
23357	25		Nausea	grade 2				3303
23358	5.2		Nausea	grade 3				3303
23359	19.8		Alopecia	grade 1				3303
23360	22.4		Alopecia	grade 2				3303
23361	4.3		Alopecia	grade 3				3303
23362	22.4		Fatigue	grade 1				3303
23363	10.3		Fatigue	grade 2				3303
23364	5.2		Fatigue	grade 3				3303
23365	12.1		Vomiting	grade 1				3303
23366	19.8		Vomiting	grade 2				3303
23367	4.3		Vomiting	grade 3				3303
23368	0.9		Vomiting	grade 4				3303
23369	19		Diarrhea	grade 1				3303
23370	13.8		Diarrhea	grade 2				3303
23371	1.7		Diarrhea	grade 3				3303
23372	0.9		Diarrhea	grade 4				3303
23373	58		Neutropenia	grade 4		Toxicity after the first course of therapy.		3300
23374	20		Thrombocytopenia	grade 4		Toxicity after the first course of therapy.		3301
23375	11		Anemia	grade 3-4		Toxicity after the first course of therapy.		3301
23376	1 pts		Leukopenia	grade 1				3302
23377	1 pts		Leukopenia	grade 2				3302
23378	7 pts		Leukopenia	grade 3				3302
23379	2 pts		Leukopenia	grade 4				3302
23380	6 pts		Neutropenia	grade 2				3302
23381	2 pts		Neutropenia	grade 3				3302
23382	1 pts		Neutropenia	grade 4				3302
23383	2 pts		Thrombocytopenia	grade 1				3302
23384	1 pts		Thrombocytopenia	grade 2				3302
23385	1 pts		Thrombocytopenia	grade 3				3302
23386	2 pts		Thrombocytopenia	grade 4				3302
23387	3 pts		Anemia	grade 1				3302
23388	3 pts		Anemia	grade 2				3302
23389	1 pts		Anemia			Grade 9: preexisting abnormality, getting worse while on study.		3302
23390	4 pts		Leukopenia	grade 1				3304
23391	4 pts		Leukopenia	grade 2				3304
23392	3 pts		Leukopenia	grade 3				3304
23393	1 pts		Leukopenia	grade 4				3304
23394	1 pts		Neutropenia	grade 1				3304
23395	2 pts		Neutropenia	grade 2				3304
23396	1 pts		Neutropenia	grade 3				3304
23397	1 pts		Neutropenia	grade 4				3304
23398	3 pts		Thrombocytopenia	grade 2				3304
23399	2 pts		Thrombocytopenia	grade 3				3304
23400	4 pts		Anemia	grade 1				3304
23401	1 pts		Anemia	grade 2				3304
23402	1 pts		Anemia	grade 3				3304
23403	3 pts		Anemia			Grade 9: preexisting abnormality, getting worse while on study.		3304
23404	7 pts		Nausea and vomiting	grade 1-4				3306
23405	6 pts		Nausea and vomiting	grade 1-4				3307
23406	5 pts		Nausea and vomiting	grade 1-4			TRUE	3305
23407	2 pts		Dizziness	grade 1-4				3306
23408	4 pts		Dizziness	grade 1-4				3307
23409	4 pts		Dizziness	grade 1-4			TRUE	3305
23410	2 pts		Sweating	grade 1-4				3306
23411	3 pts		Sweating	grade 1-4				3307
23412	3 pts		Sweating	grade 1-4				3305
23413	2 pts		Peripheral edema	grade 1-4				3306
23414	4 pts		Peripheral edema	grade 1-4				3307
23415	3 pts		Peripheral edema	grade 1-4				3305
23416	2 pts		Vaginal discharge	grade 1-4				3306
23417	3 pts		Vaginal discharge	grade 1-4				3307
23418	0		Vaginal discharge	grade 1-4				3305
23419	1 pts		Hot flushes	grade 1-4				3306
23420	4 pts		Hot flushes	grade 1-4				3307
23421	2 pts		Hot flushes	grade 1-4				3305
23422	1 pts		Lactation decreased	below serious				3308
23423						No adverse reactions leading to discontinuation were reported		3310
23424						No adverse reactions leading to discontinuation were reported		3309
23425						There was no serious adverse events related to the administration of torasemide.		3313
23426			Hepatic coma			WARNINGS		3312
23427			Tinnitus			WARNINGS		3312
23428			Hearing loss			WARNINGS		3312
23429			Electrolyte depletion		discontinuation	WARNINGS		3312
23430			Electrolyte depletion		discontinuation	WARNINGS		3312
23431			Hypokalemia		discontinuation	WARNINGS		3312
23432	0.1 - 0.5		Dizziness		discontinuation			3311
23433	0.1 - 0.5		Headache		discontinuation			3311
23434	0.1 - 0.5		Nausea		discontinuation			3311
23435	0.1 - 0.5		Weakness		discontinuation			3311
23436	0.1 - 0.5		Vomiting		discontinuation			3311
23437	0.1 - 0.5		Hyperglycemia		discontinuation			3311
23438	0.1 - 0.5		Urination abnormal NOS		discontinuation			3311
23439	0.1 - 0.5		Hyperuricemia		discontinuation			3311
23440	0.1 - 0.5		Hypokalemia		discontinuation			3311
23441	0.1 - 0.5		Excessive thirst		discontinuation			3311
23442	0.1 - 0.5		Hypovolemia		discontinuation			3311
23443	0.1 - 0.5		Impotence		discontinuation			3311
23444	0.1 - 0.5		Esophageal hemorrhage		discontinuation			3311
23445	0.1 - 0.5		Dyspepsia		discontinuation			3311
23446			Diarrhea		discontinuation			3314
23447			Dizziness		discontinuation			3314
23448			Elevated liver enzymes		discontinuation			3314
23449	1 pts		Venous thromboembolism	serious				3316
23450	1 pts		Gangrene	serious				3315
23451	1 pts		Cardiac arrest	serious				3315
23452	1 pts		Septic shock	serious				3315
23453	1 pts		Anemia	below serious				3315
23454	1 pts		Constipation	below serious				3315
23455	2 pts		Diarrhea	below serious				3315
23456	1 pts		Aspartate aminotransferase increased	below serious				3315
23457	1 pts		Fluid overload	below serious				3315
23458	1 pts		Fungal rash	below serious				3315
23459	1 pts		Hypothermia	below serious				3315
23460	1 pts		Abrasion	below serious				3315
23461	1 pts		Pedal edema	below serious				3315
23462	1 pts		Pressure ulcer	below serious				3315
23463	1 pts		Palmar erythema	below serious				3315
23464	1 pts		Thrombocytopenia	below serious				3315
23465	1 pts		Ventricular tachycardia	below serious				3315
23466	1 pts		Anemia	below serious				3315
23467	1 pts		Pneumonia	below serious				3315
23468	1 pts		Renal failure	below serious				3315
23469	1 pts		Blindness		discontinuation	leads to discontinuation		3319
23470	1 pts		Convulsions generalized		discontinuation	leads to discontinuation		3317
23471	1 pts		Deep vein thrombosis leg		discontinuation	leads to discontinuation		3320
23472	50.4		Headache					3318
23473	25.4		Nasal disorder NOS					3318
23474	20.7		Back pain					3318
23475	19.8		Abdominal pain					3318
23476	11.2		Musculoskeletal pain					3318
23477	6.9		Arthralgia					3318
23478	6.5		Muscle cramps					3318
23479	6		Migraine					3318
23480	5.6		Anemia					3318
23481	5.2		Fatigue					3318
23482	1 pts		Abdominal cramps	severe	discontinuation	leads to discontinuation		3321
23483	1 pts		Bleeding menstrual heavy	severe	discontinuation	leads to discontinuation		3321
23484	3		Conjunctival hyperemia		discontinuation	leads to discontinuation		3322
23485	2 pts		Hyperemia eye		discontinuation	leads to discontinuation		3323
23486	1 pts		Iritis		discontinuation	leads to discontinuation		3323
23487	1 pts		Dermatitis		discontinuation	leads to discontinuation		3323
23488	1 pts		Upper respiratory infection		discontinuation	leads to discontinuation		3323
23489			Diarrhea		discontinuation			3327
23490	4.3		Hypercalcemia	grade 4			TRUE	3325
23491	17.4		Skin toxicity	grade 3			TRUE	3325
23492	4.3		Emesis	grade 3			TRUE	3325
23493	4.3		AST/ALT ratio abnormal	grade 3			TRUE	3325
23494	22.2		Hypercalcemia	grade 4			TRUE	3324
23495	33.3		Skin toxicity	grade 3			TRUE	3324
23496	11.1		Anemia	grade 3			TRUE	3324
23497	11.1		Thrombocytopenia	grade 3			TRUE	3324
23498	11.1		Emesis	grade 3			TRUE	3324
23499	11.1		Hypercalcemia	grade 3			TRUE	3324
23500			Cheilitis		discontinuation			3328
23501			Skin xerosis		discontinuation			3328
23502			Facial desquamation		discontinuation	desquamation of the forehead		3328
23503			Desquamation		discontinuation	desquamation of the external auditory meatus		3328
23504			Headache		discontinuation			3328
23505			Skin xerosis		discontinuation			3328
23506						AEs not specified		3326
23507			Fetal damage	grade 4	discontinuation	WARNING		3329
23508			Kidney failure	acute				3330
23509			Hyperkalemia		discontinuation	WARNING		3331
23510	1 pts		Ataxia		discontinuation	leads to dose reduction		3332
23511	1 pts		Drowsiness		discontinuation	leads to dose reduction		3332
23512			Coordination abnormal		discontinuation	leads to discontinuation		3333
23513			Drowsiness		discontinuation	leads to discontinuation		3333
23514			Groggy		discontinuation	leads to discontinuation		3333
23515			Somnolence		discontinuation	leads to discontinuation		3333
23516			Depression		discontinuation	leads to discontinuation		3333
23517			Restlessness		discontinuation	leads to discontinuation		3333
23518			Dizziness		discontinuation	leads to discontinuation		3333
23519			Lightheadedness		discontinuation	leads to discontinuation		3333
23520			Headache		discontinuation	leads to discontinuation		3333
23521			Nausea		discontinuation	leads to discontinuation		3333
23522			Visual disturbance		discontinuation	leads to discontinuation		3333
23523			Nervousness		discontinuation	leads to discontinuation		3333
23524			Abdominal distress		discontinuation	leads to discontinuation		3333
23525			Bladder disorders NEC		discontinuation	leads to discontinuation		3333
23526			Aching in limb		discontinuation	leads to discontinuation		3333
23527			Backache		discontinuation	leads to discontinuation		3333
23528			Blepharitis		discontinuation	leads to discontinuation		3333
23529						No information on AE is provided		3334
23530	1 pts		Chorea		discontinuation	leads to discontinuation		3340
23531	1 pts		Rash		discontinuation	leads to discontinuation		3340
23532	1 pts		Hyperactivity		discontinuation	leads to discontinuation		3340
23533	2 pts		Constipation		discontinuation	leads to discontinuation		3339
23534	4 pts		Gastrointestinal disorders		discontinuation	leads to discontinuation		3339
23535	2 pts		Behaviour disorder		discontinuation	leads to discontinuation		3339
23536	1 pts		Movements involuntary		discontinuation	leads to discontinuation		3339
23537	1 pts		Drowsiness		discontinuation	leads to discontinuation		3339
23538	1 pts		Skin rash		discontinuation	leads to discontinuation		3339
23539	77		Extrapyramidal symptoms					3341
23540						only abstract is available		3335
23541						only abstract is available		3336
23542	1 pts		Dependence					3337
23543	1 pts		Dependence					3338
23544						No adverse effects leading to discontinuation were observed		3343
23545						No adverse effects leading to discontinuation were observed		3344
23546	11		Vaginitis			No adverse effects leading to discontinuation were observed		3342
23547	11		Skin irritation			No adverse effects leading to discontinuation were observed		3342
23548	0.34		Acute renal failure		discontinuation			3346
23549	0.17		Infection staphylococcal		discontinuation			3346
23550	0.17		Respiratory failure		discontinuation			3346
23551	0.17		Sepsis		discontinuation			3346
23552	0.17		Intracranial hemorrhage		discontinuation			3346
23553	0.17		Hypersensitivity		discontinuation			3346
23554	0.17		Renal failure		discontinuation			3346
23555			Acute renal failure		discontinuation			3345
23556	4 pts		Cold	below serious				3349
23557	1 pts		Drowsiness	below serious				3349
23558	2 pts		Cough	below serious				3349
23559	1 pts		Constipation	below serious				3349
23560	3 pts		Nausea	below serious				3349
23561	2 pts		Insomnia	below serious				3349
23562	1 pts		Anxiety	below serious				3349
23563	4 pts		Chest pain - cardiac	below serious				3359
23564	7 pts		Constipation	below serious				3359
23565	6 pts		Diarrhea	below serious				3359
23566	10 pts		Flatulence	below serious				3359
23567	14 pts		Nausea	below serious				3359
23568	6 pts		Stomach pain	below serious				3359
23569	6 pts		Irritability	below serious				3359
23570	6 pts		Anorexia	below serious				3359
23571	11 pts		Back pain	below serious				3359
23572	11 pts		Headache	below serious				3359
23573	13 pts		Lethargy	below serious				3359
23574	11 pts		Memory impairment	below serious				3359
23575	7 pts		Somnolence	below serious				3359
23576	8 pts		Anxiety	below serious				3359
23577	17 pts		Psychiatric disorders	below serious				3359
23578	3 pts		Uterine pain	below serious				3359
23579	11 pts		Cough	below serious				3359
23580	4 pts		Pruritus	below serious				3359
23581	1 pts		Asthenia	serious				3350
23582	1 pts		Fracture	serious				3350
23583	1 pts		Prostate cancer	serious				3350
23584	1 pts		Conjunctival haemorrhage	below serious				3350
23585	1 pts		Eye disorder	below serious				3350
23586	2 pts		Abdominal discomfort	below serious				3350
23587	1 pts		Abdominal pain	below serious				3350
23588	3 pts		Constipation	below serious				3350
23589	2 pts		Diarrhoea	below serious				3350
23590	2 pts		Dry mouth	below serious				3350
23591	4 pts		Dyspepsia	below serious				3350
23592	1 pts		Gastric disorder	below serious				3350
23593	17 pts		Nausea	below serious				3350
23594	12 pts		Vomiting	below serious				3350
23595	2 pts		Asthenia	below serious				3350
23596	2 pts		Fatigue	below serious				3350
23597	1 pts		Malaise	below serious				3350
23598	1 pts		Pyrexia	below serious				3350
23599	2 pts		Bronchitis	below serious				3350
23600	1 pts		Upper respiratory tract infection	below serious				3350
23601	1 pts		Skin laceration	below serious				3350
23602	1 pts		Urine analysis abnormal	below serious				3350
23603	13 pts		Decreased appetite	below serious				3350
23604	2 pts		Hypokalaemia	below serious				3350
23605	1 pts		Muscle spasms	below serious				3350
23606	1 pts		Myalgia	below serious				3350
23607	1 pts		Metastases to spine	below serious				3350
23608	1 pts		Dementia Alzheimer's type	below serious				3350
23609	8 pts		Dizziness	below serious				3350
23610	7 pts		Headache	below serious				3350
23611	1 pts		Lethargy	below serious				3350
23612	1 pts		Paraesthesia	below serious				3350
23613	2 pts		Anxiety	below serious				3350
23614	2 pts		Insomnia	below serious				3350
23615	2 pts		Cough	below serious				3350
23616	1 pts		Hiccups	below serious				3350
23617	1 pts		Oropharyngeal discomfort	below serious				3350
23618	1 pts		Productive cough	below serious				3350
23619	1 pts		Erythema nodosum	below serious				3350
23620	1 pts		Hyperhidrosis	below serious				3350
23621	2 pts		Hypertension	below serious				3350
23622	2 pts		Skin rash	serious				3351
23623	1 pts		Transient ischemic attack	serious				3352
23624	1 pts		Arrhythmia	serious				3352
23625	1 pts		Pulmonary embolism	serious				3352
23626	1 pts		Sick sinus syndrome	serious				3352
23627	1 pts		Depression	serious				3352
23628	2 pts		Gastrointestinal bleed	serious				3352
23629	2 pts		Unstable angina	serious				3352
23630	1 pts		Cellulitis	serious				3352
23631	1 pts		Surgical procedure	serious				3352
23632	1 pts		Dehydration	serious				3352
23633	1 pts		Syncope	serious				3352
23634	1 pts		Wound infection	serious				3352
23635	2 pts		Death	serious				3352
23636	27 pts		Insomnia	below serious				3352
23637	21 pts		Nausea	below serious				3352
23638	23 pts		Abnormal dreams	below serious				3352
23639	14 pts		Nightmares	below serious				3352
23640	9 pts		Constipation	below serious				3352
23641	1 pts		Psychiatric decompensation	serious				3360
23642	1 pts		Hallucination auditory	serious				3360
23643	1 pts		Rash	serious				3347
23644	1 pts		Exacerbation of anxiety	serious				3347
23645	1 pts		Weakness of arms	serious				3347
23646	1 pts		Pneumonia	serious				3347
23647	7 pts		Constipation	below serious				3347
23648	13 pts		Nausea	below serious				3347
23649	7 pts		Heartburn	below serious				3347
23650	7 pts		Gastroesophageal reflux	below serious				3347
23651	8 pts		Depressed mood	below serious				3347
23652	2 pts		Anxiety	below serious				3347
23653	2 pts		Mood swings	below serious				3347
23654	14 pts		Insomnia	below serious				3347
23655	18 pts		Abnormal dreams	below serious				3347
23656	2 pts		Suicidal ideation	below serious				3347
23657	2 pts		Somnolence	below serious				3347
23658	2 pts		Dizziness	below serious				3347
23659	4 pts		Bad taste	below serious				3347
23660	8 pts		Lethargy	below serious				3347
23661	4 pts		Shortness of breath	below serious				3347
23662	3 pts		Rash	below serious				3347
23663	7 pts		Increased appetite	below serious				3347
23664	8 pts		Decreased appetite	below serious				3347
23665	2 pts		Weight loss	below serious				3347
23666	2 pts		Urinary tract infection	below serious				3347
23667	3 pts		Insomnia	below serious				3353
23668	4 pts		Nausea	below serious				3353
23669	1 pts		Conjunctivitis	below serious				3353
23670	1 pts		Constipation	below serious				3353
23671	1 pts		Coughing	below serious				3353
23672	1 pts		Depression mental	below serious				3353
23673	1 pts		Sexual dysfunction	below serious				3353
23674	1 pts		Fatigue	below serious				3353
23675	1 pts		Flushing	below serious				3353
23676	1 pts		Headache	below serious				3353
23677	1 pts		Sex inhibition	below serious				3353
23678	1 pts		Postnasal drip	below serious				3353
23679	2 pts		Mental distress	below serious				3353
23680	1 pts		Drug withdrawal syndrome	below serious				3353
23681	1 pts		Hypoglycemic episode	serious				3354
23682	1 pts		Knee replacement	serious				3354
23683	2 pts		Major depressive disorder	below serious				3354
23684	18 pts		Taste changed	below serious				3354
23685	27 pts		Dry mouth	below serious				3354
23686	29 pts		Appetite disorder	below serious				3354
23687	29 pts		Nausea	below serious				3354
23688	11 pts		Vomiting	below serious				3354
23689	19 pts		Gas	below serious				3354
23690	23 pts		Constipation	below serious				3354
23691	15 pts		Fatigue	below serious				3354
23692	15 pts		Insomnia	below serious				3354
23693	9 pts		Dizziness	below serious				3354
23694	10 pts		Irritability	below serious				3354
23695	1 pts		Back surgery	serious				3355
23696	1 pts		Death	serious				3355
23697	9 pts		Constipation	below serious				3355
23698	11 pts		Diarrhoea	below serious				3355
23699	36 pts		Nausea	below serious				3355
23700	12 pts		Vomiting	below serious				3355
23701	14 pts		Fatigue	below serious				3355
23702	11 pts		Irritability	below serious				3355
23703	5 pts		Upper respiratory tract infection	below serious				3355
23704	9 pts		Arthralgia	below serious				3355
23705	11 pts		Dizziness	below serious				3355
23706	6 pts		Dysgeusia	below serious				3355
23707	27 pts		Abnormal dreams	below serious				3355
23708	9 pts		Anxiety	below serious				3355
23709	7 pts		Depression	below serious				3355
23710	6 pts		Hostility	below serious				3355
23711	15 pts		Insomnia	below serious				3355
23712	3 pts		Flatulence	below serious				3348
23713	1 pts		Chest pain	serious				3356
23714	1 pts		Allergy to chemicals	serious				3356
23715	1 pts		Pyelonephritis	serious				3356
23716	1 pts		Ankle fracture	serious				3356
23717	1 pts		Intervertebral disc protrusion	serious				3356
23718	1 pts		Knee arthroplasty	serious				3356
23719	13 pts		Constipation	below serious				3356
23720	15 pts		Diarrhoea	below serious				3356
23721	66 pts		Nausea	below serious				3356
23722	13 pts		Fatigue	below serious				3356
23723	19 pts		Nasopharyngitis	below serious				3356
23724	19 pts		Upper respiratory tract infection	below serious				3356
23725	26 pts		Headache	below serious				3356
23726	36 pts		Abnormal dreams	below serious				3356
23727	17 pts		Insomnia	below serious				3356
23728	13 pts		Sleep disorder	below serious				3356
23729	4 pts		Nausea	below serious				3357
23730	2 pts		Sleep disturbance	below serious				3357
23731	1 pts		Abdominal mass	serious				3358
23732	1 pts		Cocaine addiction	serious				3358
23733	1 pts		Chest pain	serious				3358
23734	1 pts		Chest pain	serious				3358
23735	1 pts		Nausea	serious				3358
23736	15 pts		Headache	below serious				3358
23737	14 pts		Blood pressure increased	below serious				3358
23738	11 pts		Abdominal pain	below serious				3358
23739	19 pts		Nausea	below serious				3358
23740	8 pts		Toothache	below serious				3358
23741	11 pts		Vivid dreams	below serious				3358
23742	6 pts		Flatulence	below serious				3358
23743	1 pts		Cellulitis	serious				3361
23744	15 pts		Dreaming abnormal	below serious				3361
23745	4 pts		Fatigue	below serious				3361
23746	16 pts		Nausea	below serious				3361
23747	6 pts		Vomiting	below serious				3361
23748	3 pts		Dizziness	below serious				3361
23749			Vomiting		discontinuation			3362
23750			Tachycardia		discontinuation			3362
23751	4		Nausea		discontinuation			3363
23752	1		Anger		discontinuation			3363
23753	1		Insomnia		discontinuation			3363
23754			Psychiatric disorder NOS	serious	discontinuation	WARNING		3364
23755			Suicidal ideation	serious	discontinuation	WARNING		3364
23756			Suicidal behavior	serious	discontinuation	WARNING		3364
23757			Agitation		discontinuation	WARNING		3364
23758			Hostility		discontinuation	WARNING		3364
23759			Depressed mood		discontinuation	WARNING		3364
23760			Angioedema		discontinuation	WARNING		3364
23761			Hypersensitivity reaction		discontinuation	WARNING		3364
23762	rare		Reaction skin	grade 3-4	discontinuation	WARNING		3364
23763			Accidental injury		discontinuation	WARNING		3364
23764	3		Nausea		discontinuation	WARNING. Nausea is the most common adverse reaction (up to 30% incidence rate). Approximately 3% of patients treated with CHANTIX 1 mg twice daily in studies involving 12 weeks of treatment discontinued treatment prematurely because of nausea.		3365
23765	1 pts		Paralysis		discontinuation	leads to discontinuation		3369
23766	1 pts		Sepsis	grade 5	discontinuation	leads to discontinuation		3368
23767						No AEs were reported		3370
23768	2 pts		Drug intolerance					3366
23769			Bradycardia					3367
23770	4 pts		Dizziness	below serious				3374
23771	2 pts		Nausea	below serious				3374
23772	5 pts		Constipation	below serious				3375
23773	1 pts		Dizziness	below serious				3375
23774	1 pts		Nausea	below serious				3375
23775	4 pts		Dizziness	below serious				3376
23776	2 pts		Heart rate abnormal	below serious				3376
23777	6 pts		Constipation	below serious				3376
23778	5 pts		Lightheadedness	below serious				3376
23779	3 pts		Headache	below serious				3376
23780	2 pts		Blurred vision	below serious				3376
23781	3 pts		Nausea	below serious				3376
23782	5 pts		Tiredness	below serious				3376
23783	1 pts		Rash	below serious				3376
23784	2 pts		Heart rate abnormal	below serious				3377
23785	8 pts		Constipation	below serious				3377
23786	5 pts		Heartburn	below serious				3377
23787	6 pts		Headache	below serious				3377
23788	3 pts		Nausea	below serious				3377
23789	6 pts		Tiredness	below serious				3377
23790	1 pts		Rash	below serious				3377
23791	2 pts		Abdominal pain	below serious				3377
23792	1 pts		Back pain	below serious				3373
23793	1 pts		Dry mouth	below serious				3373
23794	2 pts		Headache	below serious				3373
23795	1 pts		Vomiting		discontinuation	leads to discontinuation		3381
23796	1 pts		Seizure		discontinuation	leads to discontinuation		3381
23797	1 pts		Light-headed		discontinuation	leads to discontinuation		3378
23798	1 pts		Dissociation		discontinuation	leads to discontinuation		3378
23799	1 pts		Bradycardia		discontinuation	leads to discontinuation		3378
23800	1 pts		Tachycardia		discontinuation	leads to discontinuation		3380
23801	1 pts		Hypotension		discontinuation	leads to discontinuation		3380
23802	1 pts		Heart rate abnormal		discontinuation	leads to discontinuation		3380
23803	1 pts		Heart block first degree		discontinuation	leads to discontinuation		3379
23804	1 pts		Bundle branch block right		discontinuation	leads to discontinuation		3379
23805	12.1		Headache					3371
23806	8.8		Constipation					3371
23807	3.7		Peripheral edema					3371
23808	3		Dizziness					3371
23809	3		Pharyngitis					3371
23810	3		Sinusitis					3371
23811	2.7		Dyspepsia					3371
23812	2.7		Rhinitis					3371
23813	2.4		Diarrhea					3371
23814	2.4		Pain					3371
23815	1.7		Edema					3371
23816	1.7		Nausea					3371
23817	1.5		Accidental injury					3371
23818	7.3		Constipation					3372
23819	3.3		Dizziness					3372
23820	2.7		Nausea					3372
23821	2.5		Hypotension					3372
23822	2.2		Headache					3372
23823	1.9		Edema					3372
23824	1.8		Pulmonary edema					3372
23825	1.7		Fatigue					3372
23826	1.4		Bradycardia					3372
23827	1.2		Rash					3372
23828	1.2		AV block					3372
23829	0.6		Flushing					3372
23830	2 pts		Chest pain	serious				3383
23831	1 pts		Psychiatric symptom	serious				3383
23832	1 pts		Blood pressure increased	serious				3383
23833	1 pts		Loss of consciousness	serious				3383
23834	1 pts		Eczema	serious				3383
23835	11 pts		Pain in extremity	below serious				3383
23836	16 pts		Fatigue	below serious				3383
23837	9 pts		Nasopharyngitis	below serious				3383
23838	11 pts		Photopsia	below serious				3383
23839	8 pts		Blood pressure increased	below serious				3383
23840	5 pts		Pruritus	below serious				3383
23841	4 pts		Increased appetite	below serious				3383
23842	4 pts		Immune system disorders	below serious				3383
23843	2 pts		Nausea	below serious				3382
23844	2 pts		Headache	below serious				3382
23845	2 pts		Dry mouth	below serious				3382
23846	2 pts		Back pain	below serious				3382
23847	9		Sedation		discontinuation	9 patients, 1 discontinued		3384
23848	2		Seizures		discontinuation			3384
23849	1		Status epilepticus		discontinuation	1 patient		3384
23850	6		Weight gain					3384
23851	1		Depression			1 patient		3384
23852	1		Excitability			1 patient		3384
23853	1		Itching			1 patient		3384
23854	1		Headache			1 patient		3384
23855	1		Irritability			1 patient		3384
23856	1		Muscle pain			1 patient		3384
23857	1		Libido decreased			1 patient		3384
23858						no AEs reported		3387
23859						no AEs reported		3385
23860						The 3- and 6-g doses were not statistically different with respect to efficacy measures; however, use of 6 g/day was accompanied by a increased incidence of serious adverse effects (11 and 16% for 3- and 6-g doses, respectively) and an increased incidence of dropouts resulting from adverse events (11 and 18%, respectively). AEs not specified.		3386
23861			Vision loss					3389
23862			Brain MRI signal changes			Abnormal MRI signal changes have been reported in some infants with IS receiving SABRIL		3389
23863			Suicidal behavior					3389
23864			Suicidal ideation					3389
23865			Anemia					3389
23866			Somnolence					3389
23867			Fatigue					3389
23868	common		Coma					3388
23869	common		Unconsciousness					3388
23870	common		Drowsiness					3388
23871	uncommon		Vertigo					3388
23872	uncommon		Psychosis					3388
23873	uncommon		Apnea					3388
23874	uncommon		Respiratory depression					3388
23875	uncommon		Bradycardia					3388
23876	uncommon		Agitation					3388
23877	uncommon		Irritability					3388
23878	uncommon		Confusion					3388
23879	uncommon		Headache					3388
23880	uncommon		Hypotension					3388
23881	uncommon		Abnormal behavior					3388
23882	uncommon		Seizures					3388
23883	uncommon		Status epilepticus					3388
23884	uncommon		Speech disorder					3388
23885	7		Headache					3390
23886	1		Gastritis					3390
23887	20		Pharyngitis					3390
23888	7		Rhinitis					3390
23889	24.7		Pharyngitis					3391
23890	13.8		Headache					3391
23891	3.7		Myalgia					3391
23892	3.5		Sinusitis					3391
23893	3.3		Flu syndrome					3391
23894	3.1		Cough increased					3391
23895	3.1		Rash					3391
23896	3.1		Rhinitis					3391
23897	3.1		Accidental injury					3391
23898	3.1		Nausea					3391
23899	2.9		Back pain					3391
23900	2.9		Hypertonia					3391
23901	2.7		Diarrhea					3391
23902	2.7		Exacerbation of asthma					3391
23903						no AEs reported		3392
23904			Loss of consciousness					3393
23905			Sleep driving		discontinuation	WARNINGS. Complex behaviors such as “sleep-driving” (i.e., driving while not fully awake after ingestion of a sedative-hypnotic, with amnesia for the event) have been reported.		3394
23906			Abnormal thinking			WARNINGS		3394
23907			Abnormal behavior			WARNINGS		3394
23908			Amnesia			WARNINGS		3394
23909			Depression worsened			WARNINGS		3394
23910			Suicidal tendency			WARNINGS		3394
23911			Suicide		discontinuation	WARNINGS		3394
23912			Anaphylactic reaction	severe	discontinuation	WARNINGS		3394
23913			Anaphylactoid reaction	severe	discontinuation	WARNINGS		3394
23914			Angioedema	grade 3-5	discontinuation	WARNINGS		3394
23915	1 pts		Respiratory obstruction unspecified	grade 5				3396
23916	1 pts		Hypoxemia	severe				3396
23917	1 pts		Pneumothorax	grade 5				3396
23918	1 pts		Abdominal pain	mild		subject with normal renal function		3397
23919	1 pts		Headache	moderate		subject with mild renal impairment		3397
23920	1 pts		Diarrhea	mild		subject with moderate renal impairment		3397
23921	1 pts		Weakness			subject with severe renal impairment		3397
23922	1 pts		Lightheadedness			subject with severe renal impairment		3397
23923	1 pts		Heart pounding			subject with severe renal impairment		3397
23924	1 pts		Rash	mild		subject with severe renal impairment		3397
23925	10		Liver injury	acute				3395
23926	3		Rash					3395
23927	3		Venous thrombophlebitis					3395
23928	2 pts		Ventricular arrhythmia	grade 3-4				3395
23929	2 pts		Liver injury	grade 3-4				3395
23930	2 pts		Encephalopathy	grade 3-4				3395
23931	1 pts		Renal failure	grade 3-4				3395
23932	3		Neutropenia					3398
23933	1		Aspartate aminotransferase increased					3398
23934	1		Delirium					3398
23935	1		Eosinophilia					3398
23936	1		Insomnia					3398
23937	1		Left ventricular hypertrophy					3398
23938	1		Troponin I increased					3398
23939	1		Vomiting					3398
23940	1 pts		Depression					3403
23941	1 pts		Muscle ache		discontinuation	leads to discontinuation		3404
